,mark,review_text,date
0,10, обязательно посетить большое спасибо хозяйке галлереи творчество позитив! получили море удовольствия координально изменился взгляд жизнь! ,21 сентября 2022
1,3," приветливый берег приехали детьми семьей ул. луначарского санаторий приветливый берег. море очень грязное, мутное, плавает хлам, рвота. санатории еда не вкусная, плохо сваренная пища, одинаковое, отходное приготовление. итоге понос рвота всей семьи. дети температурой дня пять дней болели отъезда не выздоровели не отдохнули. потраченные деньги. отдых испорчен. не рекомендую слова совсем! ",17 августа 2022
2,3," убогие пляжи, мусор грязь убогие пляжи, мусор, грязь разруха. ",13 августа 2022
3,1," отключение воды каждый день, 2022 год, август нет воды горячей холодной 13 часов 19 часов многоквартирном доме ул островского. это не курорт, смех слезы....на улице 35 градусов, туалет смыть нечем. ук прораб говорит, экономят.... ",10 августа 2022
4,2," испорченный отпуск отдыхали геленджике 27.07-07.08.2022. город понравился очень , хотелось очень оставить отзыв хозяйке, которая нам сдала рассказам изначально дом наше распоряжение дом находится адресу : степная 32, сдают ещё адресу : толстого 63, это рядом , , услышите адрес - бегите оттуда сломя голову . хозяйка испортила весь отпуск свои навязчивым присутствием , постоянно лезет нравоучениями советами , воду поздно включили , рано пришли , последней каплей отключение роутера сети , рекомендацией принимать душ раньше . хозяйку зовут марина , люди , бегите оттуда не возвращайтесь , отпуск испорчен ",06 августа 2022
5,4," сразу отмечу, въезде город года 2 делают дорогу, благодаря чему образовывается пробка несколько км неопределённые часы. провести отдых геленджике получится хорошо/отлично снимаете жильё самом городе. жили голубой бухте, которую городом разделяет взлетная полоса. добраться города обратно бухту нужно сделать большой крюк машине. автобусов приходилось ждать несколько часов подряд, навигатор не помогал. легче вызвать такси, придется заплатить 400-500₽! города ехать самое, легче такси. расписания, висящие остановках не помогают! администрация - такие работники.в столовых цены приемлемые вкусная еда, например, столовой 88 нам очень понравилось, особенно картофель салом. также рядом кофейня naked coffee вкусным кофе. красивые пляжи не менее красивыми видами горы! детские зоны ведущими.экскурсий куча! выбирай - не хочу, говорится:) ",28 июля 2022
6,7," кидают морскими прогулками забронировали 28.07.2022 катер вояж центрально ого причала, приехали ко времени оказалось катер сдали ещё кому-то аренду.в итоге потрачено время (залог вернули).ребята делают деньги, аренда выгодней не считают нужным предупредить отмене. ",28 июля 2022
7,1, ужас геленджике ужас пляже пляжи закидали платноми лежаками нету места отдыха лежаки жолтого цвета грязные люди лежат не дезинфекции всему миру ковид!! спросили обробатовали нам сказали не нравится другое место . 4 года отдыхал подряд геленджике щитаю испортили геленджике одых не советую сдесь одыхать . геленджике посматре жолтые лежаки грязные дезинфекции слова некто не знает ,17 июля 2022
8,10," отдых разным! очень атмосферное место! обязательно посещению. да, туристов, прийти пораньше, открытию, удовольствием погулять тенистым аллеям. каждые полчаса проходит обзорная экскурсия, очень доступно интересно рассказывают идею парка. гуляли долго, рассматривали каждый камушек, цветочек, дерево, всё душой! спасибо такое приятное место! обязательно сходим театр! ",24 июня 2022
9,10," лично всем советую жизни посетить геленджик! могу рассказать своих впечатлениях эмоциях геленджике? первых-это чистый воздух,горный,очень полезно здоровья,но сильные ветра,второе-зелёные зоны,много деревьев,тоесть всё благо экологии,это хорошо,цены кусаются,смотря покупать,новогодние праздники провести,как думаю,приятно,очень эффектная ёлка нынче ",28 декабря 2021
10,3," отдыхать - не работать! но.. одного раза геленджике достаточно. лазаревское пусть ждет! туда реально хочется вернуться! прочитала отзывы - захотела написать. вернулись геленджика 25 сентября 2021 г. первый раз. хотелось посмотреть набережную, песочные пляжи, оценить удобный трансфер (аэропорт.. там). очень давно отдыхаем лазаревском (оттуда,кстати, приехали 16 июня 2021 г.). неоднозначно. понравилось - набережная - супер!, канатная дорога, колесо обозрения горе-экстремально здорово!, пивная вечеринка горе, дискотека корабле - комментариев, высшем уровне!, устрицы, креветки мидии дивноморской ракушки - просто бомбические, пальчики оближешь! не понравилось-море бухте - грязное (купаться открытом море (100 рублей такси)), запах канализации дождя, еда столовых (невкусно дороговато), отсутствие ночной жизни (в 22.00 вечера - набережной-тишина), туалеты...я просто шоке! -просто грязные, вонючие, платные дырки!кстати, нам,наверное повезло. обошлись отравлений, ротовируса всякой гадости. так. ",13 октября 2021
11,1, полная хрень. море очень грязное вон такая берегу водорослей хочется блевать. не поеду! ,01 сентября 2021
12,4," геленджике не стоит отдыхать детьми( геленджик - очень красивый город большой набережной, развлечений взрослых детей.но, большому сожалению, семьёй сюда не приедем. море очень грязное, центре набережной сильный запах канализации, невозможно дышать. удивляюсь, посещать кафе другие заведения, жить дорогих отелях.мы купались дальше центра, ближе толстому мысу, запаха такого не было, всё равно подхватили ротовирус. третий день отдыха заболели младший сын муж. дня старший я. 8 дней лечимся, отпуск заканчивается, думаем, доехать дня домой.очень страшно здоровье детей! подцепить ротовирус городе, не купаясь, просто контакта отдыхающими.поэтому решили, ездить отдых небольшие посёлки, меньше людей открытое море. ",28 августа 2021
13,3," ужасно грязное море запомню навсегда отдых геленджике. отдыхали августе 2021 года двумя семьями 7 человек, трое детей. море ужасно грязным. итоге второй день подхватили ротовирус - рвота, понос, слабость, температура. сыну хуже всего, положили инфекционную больницу краснодара, которой конца отпуска. прошлом году подхватили ротовирус сочи, осложнений. ногой моря краснодарского края.в остальном город красивый, цены не завышены, сочи адлере ",23 августа 2021
14,1," выкинуть деньги просто улице не обидно. просто ужасно!!!!! привезла пожилую маму отдых очень пожалела!!!! море просто дико грязное, нем мусор, пакеты, остатки еды, вода зелёного цвета, водоросли!!! 3 день мама слегла ротовирусной инфекцией, вслед ней, последние дни правда. всё втридорого. это покупаешь, тебе ещё нахамят!!! ужас, нигде не встречала таких грубых невоспитанных продавцов магазинах, фармацевтов аптеках, продавцов набережной!!! просто кошмар. не поедем геленджик никому не посоветуем ",23 августа 2021
15,10," геленджик - это сказка! добрый день всем, сюда не приедет ! 1. детьми смотреть. 2. фрукты овощи мыть(тщательно). 3. едете летите отдыхать сразу брать собой лекарства инфекции. даже, летите любимую турцию, нам пришлось заплатить немалые деньги лечение ребенка ротовирусной инфекции. гореть огне турции, просто включить мозги родине. 4. и, наконец, году побережье погодные катаклизмы, бури, ливневые потоки, смерчи, которые, кстати обошли геленджик стороной, грязь мусор анапы приплыл сюда. откроете свои зашореные глаза, обратите внимание то, катастрофы погодные пронеслись всему миру. не ищите виноватых, сами отвечайте своих детей. ",22 августа 2021
16,2," ужасно. ротавирус. ужасно. приехали, искупались море. дня сначала заболели ротавирусом трое детей, затем супругой. рвота, диарея температура. народу пляже столько, некуда приткнуться. 9-00. никому не советую купаться море здесь. не помню вообще такого, пятером одновременно болели. ",20 августа 2021
17,3," ротавирус!!! геленджик - очень красивый город, куча интересных мест достопримечательностей. одно огромное но: страшный ротавирус!!! мужем приехали сюда 10 дней, 5 которых мучались рвоты поноса, вернулись домой начался ад, рвота, понос, температура 39, пошёл 5ый день дома, сегодня повторно заболел муж, видимо геленджике лишь переведи своё состояние ремиссию. лечимся всеми возможными способами, сдаём анализы... море, действительно, очень грязное, вонь стояла набережной самом море, купаешься чувствуешь запах. страшно, очень страшно!!! ",18 августа 2021
18,2," опасно жизни! сильный ротовирус море вода опасны здоровья, сильное не травились! оказывается городе это норма всем равно, соседи наши случайные встречные люди которыми общались болели аж 5ти дней. тело скручивало,, холодное очень, постоянно тошнит, слабость, обезвоживание это очень серьёзно!! такого раньше не было.. хотя соблюдали меры гигиены, пили воду бутылках не глотали воду море. местные бизнесмены пытаются навариться всем втридорго, качество - среднее. будь еда , какие-то вещи те номера отеле, цены европе особенно сезон..., аптеках особенно 'эконом' ))) цены лекарства против ротовируса завышены очередей. связь ловит плохо, день отключали свет воду. персонал везде избалован. ps море сливают отходы никто это не очищает плюс это бухта не омывается, видел бухтой сооружения. делайте выводы. ",02 августа 2021
19,1," купание море опасно здоровья! огромное количество народу пляжах, место не то, лежака, полотенца удаётся найти трудом. 8-00 20-00. море очень грязное, вода мутная, прямо зоне купания плавают фекалии. дочка зятем третий день отдыха подхватили ротавирус, хотя соблюдали правила гигиены. вместо отдыха получили сильнейшее расстройство желудка многократной рвотой температурой. отпуск испорчен. поняли общения людьми городе, это не единичные случаи, просто массовое явление! ",24 июля 2021
20,10," рекомендую всем привет!не первый посещаем аквапарк довольны им. новороссийске такого комплекса, сожалению, не найдёшь , поэтому первый наш поход пал именно бегемот хочется сказать, очень мест общепита, не останешься голодным, цены приемлемые.детская зона обширная, поэтому остались восторге. сотрудники вежливы, является колоссальным плюсом. вся территория чистая, не не радовать. понравилось, шезлонгов, многие находятся тени, такое пекло - самое то👍есть место, оставить вещи, всё удобно расположено, поэтому никого не потеряешь😂несмотря то, входе забирают еду напитки, это никак не повлияло наше впечатление, всё это предназначено безопасности, не видим плохого.кроме этого, получили кучу адреналина приятных эмоций, рекомендую аквапарк посещению! ",17 июля 2021
21,2," не ехать! никому не советую отдых геленджике! народу тьма, пляж маленький (в центре). забронировали гостиницу ещё мае, 14.07.21. описание чудесное: первая линия 250 м моря, номер 4000 рублей сутки (все номере+завтрак). итоге моря 250 м, пляжа нет совсем! рядом причалы. камни, дну противно ходить (заросли). пляжа нет, воды не купить. поехали цент, продохнуть негде. зря потраченные деньги. месяц назад кабардинке, норм, это июнь. ",14 июля 2021
22,4," воозможно, поменяйте свое направление!!! приехали море детьми далекой сибири. получилось, попали город геленджик. пожалели третьи сутки, вся наша дружная компания не подцепила ротавирус. второе разочарование посетило, море обнаружили плавающие фикалии протяжении всей береговой линии. купаться невозможно, огромное скопление народа пляже, дышать городе приходиться выхлопными газами огромного количества транспорта. очень жаль потраченные деньги отпуск. отдых 2 балла. ",12 июля 2021
23,6," холодная вода 8.07.21. вода детских бассейнах холоднее море. пришли туда ради детей. час ушли. входе заставляют сдать принесённые собой не еду, воду, покупали них. 2 дня аквапарке золотая бухта , цена 25 % выше, высшем уровне, вода детских подогревом горки территория круче 100 %. не экономьте. ",08 июля 2021
24,4," осторожно море бухте грязное. людей очень много, дорого заразно. питьевой воды нет домах. дороги узкие, фрукты неизвестного производства. аптеках покупают лекарства отравления, некоторых нет масок. шторма купаться дня. ротовирус, кишечная инфекция. желательно не кушать кафе т. д. ",06 июля 2021
