,mark,review_text,date
0,4," не понравился город! кисловодске провели июль-август 2022г.жили а.губина.поразило то,что подъездах не убирают,нет дворника,мусорные баки дранные старые,мусор вываливается землю летает всей окрестности.январь 2023 г-живем азербайджанской ул.нет слов,чтобы описать это грязное гетто домов.везде грязь,покареженный асфальт,мусор,разбитые остановки.после 19-и часов никуда не уедешь,маршрутки исчезают.нет освещения столбах.в подъездпх не убирают,соседи выставляю мусор лестничную клетку идёшь вонь квартиру!никто не штрафует!мы просто ужасе!мэр города видимо не проезжал-не царское это дело!вылизывают центр,на остальные районы просто забили.думали приобрести жильё -передумали.тут нет законов порядка!!! ",09 января 2023
1,1," решайте проблему собаками, каждым годом больше!!! всё хорошо, спасибо развели собак, стаи бегают городу гавкают, очень не приятно гулять ",04 ноября 2022
2,10," очень понравилось красивое место, приятный уютный ресторан живой музыкой. рядом замком стоит лошадка, покататься, также хозяин лошадки проводит очень интересную экскурсию истории замка водит окрестностям, показывая красивые необычные места. рекомендую. ",26 сентября 2022
3,10," кисловодск-ван лав! отдыхали кисловодске сентябре 2022, ранее не бывали, честно, выбор кисловодск пал исключительно из-за закрытых границ. каково оказалось наше удивление, местные красоты намного ярче, красивее любых зарубежных аналогов! да, сервис необходимо подтягивать, красоты природы компенсируют недостатки!!! объехали достопримечательностей округе, хочется сказать огромное спасибо ребятам проката, всё очень достойно- доставили авто прямо отелю, авто абсолютно новое, всё договору. особенно поразило джилы су, приэльбрусье, домбай, архыз верхняя балкария. общем впечатлений целый год! обязательно вернемся кисловодск еще, рекомендую!!! ",19 сентября 2022
4,10," прекрасное место! кисловодск просто идеальное место, спокойно отдохнуть поправить свое состояние физическое, ментальное. ездила подругой, достопримечательности обошли объездили, заведениях/музеях побывали. погода время чудесная, люди приветливы, еда вкусна! отдельно отмечу воду кисловодская целебная – оказалась действительно полезной. многое узнали ней, пока были, пили естественно постоянно. проблемах жкт идеальна. ",22 июня 2022
5,4, детьми коляске гулять кисловодске? детьми коляске гулять кисловодске? никак! инвалидам более. ,27 ноября 2020
6,9, выбирайтесь дома любую погоду почаще) гора кольцо находится боргустанском хребте.там интересных мест.вот вариантов прогулки боргустанскому хребту горой кольцо. ,23 января 2020
7,2," шаляпин умер 1938г дешевая легенда. открылся конце 40х. говорят, однажды нем обедал федор шаляпин шаляпин умер 1938г. париже, плевать хотел ваш большевистский пятигорск.владельцам нужно уволить маркетолога распространил такую ересь. ",17 октября 2019
8,10," кисловодск... добрый вечер, хочу оставить свой отзыв отдыхе раз, кисловодске бываем часто, нам очень нравится там, такая природа 2 часах нас, раньше бабушка жила, останавливались конечно, приходится гостиницах. вот, нам очень повезло снять дом, 2 этажный, недорого. хозяин очень доброжелательный, дом чистый, новый, наверху 3 спальни, внизу гостиная кухня, посуда, мангал, замечательная терраса прекрасным видом кисловодск, вокруг такая природа (дом стоит горе), хозяин дал номер такси, 100 руб. съездили коллонаду, парке погулять. дети ( младший налазился горам вдоволь, просится ) очень довольны, будем останавливаться!!! ",12 марта 2019
9,10," замечательно! кисловодск прекрасный город. чистый, ухоженный, замечательным парком, очень интересными окрестностями, целебной водой, доброжелательными жителями вкусной едой. хороших гостиниц (мы останавливались короне очень довольны) кафе ( нам понравилось городе старый баку, парке чайный домик сосновой горе). главная достопримечательность - парк: зелень, цветы, дорожки, изумительный воздух. ",26 августа 2017
10,2," плохое место экскурсий ито не люблю матом всем привет. не советую это место хочет поехать туда посмотреть достопримечательности, нету, никуда не пустят, посмотреть фотки интернете 1000 красочнее наяву, максимум будете улице ещё не каждый столик пустят. вобщем не злой человек, там, довели. ",22 августа 2017
11,10," колосе здороаья прибавят, настроение улучшится! спасибо коллективу санатория колос доброту внимателтное отношение отдыхающим! колос 1 это уголок уюта, спокойствия искренних улыбок! всем советуем родственникам, друзьям. ",23 марта 2017
12,10," прекрасная осень кисловодске! вернулись кисловодска. cпасибо коллективу санатория колос прекрасный отдых лечение. получили массу изумительных впечатлений. лечение питание отлично, номера чистые, вовремя убирается. отдельное спасибо нашим официанткам поварам. массажист - мастер высокого класса. ходили пить минеральную воду нарзанную галерею - находится рядом санаторием. одним словом - нам очень понравилось. хотим сказать большое спасибо девочкам, занимается экскурсиями. посетили красивейших мест. замечательно, услуги территории санатория. спасибо!так держать! ",20 октября 2016
13,10," чудесное место лечения отдыха отдыхала солнечном сентябре 2015 года. очень понравилось, не хорошоотдохнула, поправила здоровье. главное лечение оно замечательное, водные процедуры, различные ванны, грязи, массаж, ингаляции, гинекологические процедуры, физио процедуры, консультации ведение узкими специалистами, питьевое лечение, посещение бассейна многое другое. процедуры входят стоимость путевки, спа процедуры – обертывание, косметолог, сауна некоторые развлечение - боулинг, бильярд оплачивать дополнительно. ",10 мая 2016
14,5, мамой нам очень понравилось ,02 ноября 2015
15,8," не гость курорта, местный житель живу кисловодске. очень красивый город, старый парк, особая атмосфера, какие пейзажи. экологии мы, кажется, 6 месте рф. финансирования сюда побольше, рабочих мест, развлечений молодежи. стал город одним лучших россии. касается частного сектора, скажу вам, не снимайте квартиры районе свято- никольского храма, самые старые коммуникации городе, воды не весь день ",07 октября 2015
16,8," отдых кисловодске отдых кисловодске рекомендую тем, не любит шума хочет отдохнуть суеты. ради прекрасного парка чистейшего воздуха стоит посетить известную здравницу. молодежи инфраструктура пока не очень развита - пару клубов кинотеатр, зато множество экскурсионных направлений, не не радовать. кисловодск стоит того, посетить! ",17 сентября 2013
17,10," знакомство миниральными источниками ездили кисловодск, рекомендации друзей. не пожалели. отдыхали спа отеле главные нарзанные ванны . соотношение цены качества порадовало. бронировали заранее сайте отеля, ехали области. очень волновались, реальность превзошла ожидания. отеле заказать экскурсии. особенно нам понравился национальный парк. долина роз просто восхитительна летом. красивый, ухоженный розарий никого не оставит равнодушным. санатория шаговой доступности располагаются миниральные источники. самом санатории заказать оздоровительные процедуры. принимали естественные нарзанные ванны, сервис прекрасный. нам бесплатно предоставили шапочки полотенца. процедуры получили приятный подарок виде кислородного коктеля. персонал улыбчивый гостеприимный. большой, чистый бассейн. немаловажно отдыха, оздоровления. прекрасное место отдыха. нам очень понравилось. обязательно вернемся. ", 30 октября 2021
