,mark,review_text,date
0,1," туалеты набережной сервис сочи оставляет удовлетворенным, но: несмотря курортный сбор, туалеты набережной продолжают платными местные отряжают 5 сотрудников, туристов не сходил туалет. позор курортному городу, спб дворцовой пл. давно бесплатные туалеты. платим курортный сбор???? ",14 апреля 2023
1,10, познавательно отличная экскурсия благодарю экскурсовода андрея александровича .очень рекомендую посетить музей именно сопровождение экскурсовода ,07 апреля 2023
2,4, санстанция гребёт лапаткой все. набережная это ужасное состояние плитки ещё интересней ужасная вонь масел горящих центральном гор пляже макдональдса называют точка все...фильтров нет санстанция выдала разрешение сколько ,13 марта 2023
3,1," январь 2023 год, впечатления осталось плохое центральной набережной!лица кавказской национальности, собирают сидящих людей , детей деньги сумме 200-400 рублей час, , присел, это развод , постоянно своим аулом отказывается платить начинают обзывать животными!!! портят всё! ",12 января 2023
4,4," сочи? нет!!! полнейшее разочарование, сезон 2023 ужасен. пожалел приехал сочи отдых. полно людей хочет нажиться туристах, мошеннические манипуляции sky pass горнолыжках. цены не соответствуют оказываемым услугам. ",06 января 2023
5,6," главном экскурсиях не рассказывают... около какого источника камень, которому стекала вода, оставляла следы, напоминающие утончённую женскую руку ? ",19 декабря 2022
6,10," климовский замок - фееричное место! незабываемое приключение - провести выходные средневековом замке. думаете, наши дни это нереально, глубоко ошибаетесь!!! такое прекрасное атмосферное место мостовском районе - климовский замок. очень радушно встретила замечательная хозяйка замка - татьяна друзьями феерично провели время! попарились русской баньке чанах ароматными травами! номера средневековом романтичном стиле, общая кухня, вся необходимая посуда, печь приготовления пищи. территории красивых беседок пикников жарки шашлыка. территория замка прекрасна (словами не описать), поэтому ниже делимся своим видеороликом.желаем всем приятного времяпровождения! уважением, волковы александр яна. ",13 ноября 2022
7,10," адлер-лучший курорт россии самый лучший город курорт россии. достопримечательностей много.. сходить, взрослым детям.. море набережная-обожаю гулять вечерам... недорогие столовые... жильё не скажу, чьо дорого... многие говорят, сочи это миллионеров очень дорого... те не никогда, не узнаёт, это враньё!!! 3 детей каждый год семьёй туда ездим, раз, год 3 раза туда .. .. не дорого, такие магазины магнит, перекрёсток т. д не обязательно снимать отель, снять аппартаментов, кушать самим приготовить... ",05 ноября 2022
8,6," нет возможности отдохнуть турции отдыхали конце октября. отель grase horizonte приличный. номер балконом большой, удобный, новый. единственный минус это очень маленькая раковина ванной. первые дни завтраках ресторане народу немного, ресторан маленький. начались осенние каникулы - ресторан вместить не состоянии. завтрак превратился проблему. не предстовляю, помещаются нем сезон. самой еде претензий нет, вкусно, меру разнообразно. целом город красивый, зеленый, встречаются странные персонажи. парке прямо пляжем какой-то полупьяный урод не давал покормить кошек. угрожал неадекватный. вообще сервис ненавязчивый, сильно отличается той турции. целом отдых получился неплохой, не вызывает желания отдыхать ещё раз. ",31 октября 2022
9,2, позор анапы образчик кича безвкусия. ,31 октября 2022
10,10," здорово добрый вечер. )) другом сентябре года. смогли/попали)) дом-музей. положительные эмоции... а, главный верхнему этажу приятно удивила... человек явно любит/знает работу... разу!!! не сказала слов паразитов нечленораздельных звуков!!! заслушался!!! нашим, центральном тв стоит поучиться!!! респект!!! ",28 октября 2022
11,10," горки город любимое место отпуска наш любимый отдых детьми 2016 года. ездим дважды год пересменку - май начало декабря) зимний сезон окончен, не начался) прорву супер приятные цены, лыжах лети пока нк катаемся. приезжаем сменить обстановку, любоваться горами, дышать невероятным горным воздухом. горки идеальный отель курорт))) 🔥 апартаменты 🤘🏼 готовим еду дома сами, дети любят проще: гречку, макароны тд. продукты покупаем перекрестке горки молле;🔥отличная инфраструктура, площадок, скейтпарк, скалолазание, тд , просто прогулки территории - это классно увлекательно;🔥 фуникулер 540 960 - отдельный вид развлечения;🔥 аквапарк шикарный)))🔥 вкусных ресторанов детскими комнатами) ездим 6 лет 🤘🏼 декабрь купили билеты забронировали отель. влюбитесь это место мы, будете возвращаться каждый год ❤️ ",26 октября 2022
12,1, отдыхали летом 2022 гостевом доме аурика. нам не понравилось отношение хозяевам гостям. не советую останавливаться. ,05 октября 2022
