,mark,review_text,date
0,4," как-то 50 50. 50% природа + 50% администрация -! санаторий лермонтов путевке нахожусь сейчас. се вроде ничего. питание, летнем пионерском лагере помню. но, не задача, не пойдешь нет одного магазина, аптеки, парикмахерской, туалета, это конечно, где-то есть, где? загадка! ходить гору, гору, горы, гору! удобства нужны! общественный транспорт отсутствует таковой, есть, конечно, трамвай, хотите окунуться 60-е годы, сюда. бестолково спланировать социальные услуги населению, мер курсе такого нигде ничего! ",07 марта 2023
1,9," питание пятигорске отдыхали 2 дня. жили отеле машук номере стандарт. отель весьма скромный, расположен очень удобно. рядом. ходили везде пешком. хотела поделиться насчет питания. самом отеле столовая, очень обычная. завтрак 430 рублей не стоит. еда, столовой. последний день нашли очень милое кафе: скромное, очень вкусно не дорого. кафе называется ретро . фото меню выставляю. выбор небольшой, еда очень вкусная. находится около верхнего рынка: ул. крайнего 30. остальных кафе дороже будьте внимательнее меню цены не порцию, 100 гр. ",19 февраля 2023
2,4," не понравился город! кисловодске провели июль-август 2022г.жили а.губина.поразило то,что подъездах не убирают,нет дворника,мусорные баки дранные старые,мусор вываливается землю летает всей окрестности.январь 2023 г-живем азербайджанской ул.нет слов,чтобы описать это грязное гетто домов.везде грязь,покареженный асфальт,мусор,разбитые остановки.после 19-и часов никуда не уедешь,маршрутки исчезают.нет освещения столбах.в подъездпх не убирают,соседи выставляю мусор лестничную клетку идёшь вонь квартиру!никто не штрафует!мы просто ужасе!мэр города видимо не проезжал-не царское это дело!вылизывают центр,на остальные районы просто забили.думали приобрести жильё -передумали.тут нет законов порядка!!! ",09 января 2023
3,10," отлично! заказывал тур жене. поскольку урале также обьездили горы ниве, это знакомо не страшно) очень понравилось, довольная, перепады высот, конечно, разы больше. спасибо! здорово! ",06 декабря 2022
4,1," решайте проблему собаками, каждым годом больше!!! всё хорошо, спасибо развели собак, стаи бегают городу гавкают, очень не приятно гулять ",04 ноября 2022
5,10," очень понравилось красивое место, приятный уютный ресторан живой музыкой. рядом замком стоит лошадка, покататься, также хозяин лошадки проводит очень интересную экскурсию истории замка водит окрестностям, показывая красивые необычные места. рекомендую. ",26 сентября 2022
6,10," кисловодск-ван лав! отдыхали кисловодске сентябре 2022, ранее не бывали, честно, выбор кисловодск пал исключительно из-за закрытых границ. каково оказалось наше удивление, местные красоты намного ярче, красивее любых зарубежных аналогов! да, сервис необходимо подтягивать, красоты природы компенсируют недостатки!!! объехали достопримечательностей округе, хочется сказать огромное спасибо ребятам проката, всё очень достойно- доставили авто прямо отелю, авто абсолютно новое, всё договору. особенно поразило джилы су, приэльбрусье, домбай, архыз верхняя балкария. общем впечатлений целый год! обязательно вернемся кисловодск еще, рекомендую!!! ",19 сентября 2022
7,1," позор сотрудникам дпс пятигорска весь отдых омрачен поведением сотрудников полиции гибдд, приехали экскурсию пятигорск, попали очень не приятную ситуацию, нашу автомашин эвакуировали штраф стоянку, неё отошли, сработала сигнализация ключах, подошли информацией сотрудникам дпс, узнать забрали машину, аможет её украли, не стали разговаривать, не подсказали обратится помощью, здоровых амбала, отвернулись просьбу помощи никак не отреагировали. доблестные сотрудники дпс!!!!!!! позор, такого отношения людям нигде не встречала. ",25 августа 2022
8,1," опасно здоровья прибыв ночью минеральные горы первые часа чудом не пострадали. город кишит бродячими собками. окружают одиноких людей парах, лая разбигаясь любой машины. пытались остановить редко проезжающие автомобили, человек не остановился(номера местные, люди гостеприимные, хотят что-то получить,например таксисты). кармане сникерс, удалось отвлечь внимание время добраться ближайшего открытого здания. спасибо шоколадке. стаи бродячих собак оставляют незабываемые впечатления. хотите пощикотать нервы остаться колекой, места не найти. ",25 августа 2022
9,2," не ездите пятигорск автомобиле собираетесь автомобиле, хорошенько вспомните правила парковки. будучи там, не теряйте бдительности тщательно осматривайте место парковки предмет знаков, близости пешеходных переходов, линий разметки прочего. то, кругом стоят другие а/м, не повод расслабляться. хренова туча эвакуаторов, постоянно снуют вместе дпс-никами. причём нарушение правил парковки, рядом машиной, будут крутиться встанут неподалеку, дождаться вашего отсутствия. местные называют воры законе . штраф платите государству, 2750 увоз - руки. причем штрафстоянке легко провести жаре улице весь день, пускают шлагбаум одному, оформляют спешки бегают окрестным заправкам магазинам, нет сдачи. просят переводит телефон, именно месте интернет не работает. ",14 июля 2022
