,mark,review_text,date
0,10," отдыхаю каждые выходные конце зимы начала понимать: выходные какие-то однообразные, отпуск – ещё не скоро. соседская семья давно выходным посещает аквапарк ква-ква . решила как-то сходить вместе ними, удовольствием посещаю аквапарк практически каждую субботу. выходные стали действительно выходными! очень удобно, кроме аттракционов несколько типов бань саун. особенно нравится турецкий хамам. ",19 апреля 2023
1,10," невероятно приятный отдых! живем недалеко вднх, часто ездим мытищи кваква парк . благодаря большому количеству автобусов дорога занимает мало времени. нравится подход ребят ценообразованию. очень доступные ценнику вечерние часы. работаем 17.00, вполне успеваем попеременно мужем устроить полноценные вечера отдыха посреди недели. сауны водные аттракционы 22.00 работают. удобно. воскресеньям пользуемся тарифом отпуск городе . получаем адреналин горках расслабляемся банном комплексе полной всей семьей. несколько пользовались очень выгодными акциями праздникам. день влюблённых очень крутое предложение было! молодцы! ",13 марта 2023
2,10," отличный аквапарк шикарным spa нравится, ква-ква парк - не хорошие горки, полноценный spa. особенно нравится пилинг рыбками хамам. пенный турецкий массаж - это вообще нечто. сравнивать, благо турцию раньше не летала, доводилось отдыхать комплексах, точно толк знают. всё прямо рядом, мытищах! красота! ",16 февраля 2023
3,1," чудовищное отношение посетителям детьми. лето, будний день. специально приехали москву пришли день многодетных показать ребятам пушкинский электронный билет купить не получилось. очередь жаре. некоторым достаются сломанные зонтики рекламой банка. тени полторы скамейки времён хрущева, сидят измученные пожилые люди (без очереди 5 70). всем остальным стоять. почему организовать цивилизованный доступ? нет таких умных кадров? сострадания посетителям, гостям, детям точно нет...какое впечатление останется наших детей? музей это часа жаре?да хотя очередь могли сделать комфортной помочь провести время интересно. позорище столицы. ",12 июля 2022
4,10," прекрасное место. отличная двухчасовая экскурсия царским хоромам. взрослые, дети восторге. разрешили сидеть тëплых коврах, ноги не уставали. сотрудники музея очень доброжелательные. ",16 июня 2022
5,1," взрослым не советую. одно разочарование. бутафория сплошная, взрослым очень скучно. еда дорогая, поесть, пришлось обходить всё дважды, кафе много, большая часть не работает. услуги туалетной комнаты платные. ступеньки либо очень высокие, либо шаткие деревянные. рынок сувенирами имеет очень неприятные ароматы. ",16 июня 2022
6,10," стоит прокатиться кажется, хотя прокатиться канатке обязательно стоит. особенно приезжий хотите увидеть москву непривычных ракурсов. интересно, необычно виды красивые. правда май 2022 года воробьевых горах по-прежнему идут строительные работы, поэтому первая часть пути воробьевых новой лиги оставляет не самое лучшее впечатление - везде перерыто перекопано. зато поездке рекой виды впечатляющие. особенно хорошую солнечную погоду! хотите сэкономить, приезжайте понедельник. цена взрослого билета понедельникам 100 рублей одну сторону, этих денег канатка точно стоит. выходным праздники 400, поэтому разница ощутимая. советую не приезжать самому открытию, бывает очень народу очереди кассы посадку. ",03 июня 2022
7,1," билеты крутые популярные выставки - перекупщиков любая относительно популярная выставка (типа серова врубеля сейчас) - билетов нет, онлайн, оффлайн, любую дату перекупщиков. дорогая галерея как-то этим начнет бороться? это почему-то удается зарубежным музеям, руководства галереи мозгов это не хватает? оно находится сговоре перекупщиками? всего-то сделать именные билеты, паспорт входе проверяют. вместо 10 провальных выставок может-таки продлить удачные?? ",23 февраля 2022
8,10," рекомендую посещению доброго времени суток. проводили семьей праздники москве, заодно посетили музей. очень довольны экскурсией, музей сложно назвать музеем, итогу создали собственный мультик, окунулись историю анимации головой, ребенок, да женой, восторге. однозначно советую посещению. ",31 января 2022
9,10," замечательный день усадьбе кусково 25 сентября 2021 года составе группы подольска посетила ваш замечательный уголок. гидом нашим гаянэ, извините, забыла отчество. приятная комфортная слух речь, грамотная познавательная . очевидно, гаянэ очень любит знает работу, досконально точно отвечала любой вопрос. наша группа благодарит весь коллектив музея-усадьбы кусково приятно познавательно проведённые время. отдельная благодарность нашему гиду гаянэ. ",27 сентября 2021
10,1," ужасный аэропорт. приехали ночью рейс турцию, ибо не времени. попали рейс саморканд. пьяные гастарбайтеры вели черт знает как, персонал не реагирует них. работники просто трэш. парень который работает стойке регистрации просто идиот. отправил конец очереди не мог правильно назвать документ который нужен вылета страну(а оказывается). рейсы постоянно задерживают, места курения нет. обмотка багажа пленкой узбеков бесплатно, 700р. единственная звезда отзыве мед работнику который поселил пункте ночь, благодаря спокойно провели ночь (если читаете это, огромное спасибо). 600-та узбеками аэропорту находиться нереально. охраны просто нет там. хочется аэропорт сравняли землей. ",08 сентября 2021
11,2," вчера, 11 мая 2021 года летела внуково краснодар, авиакомпания победа, выходе посадку сотрудница аэропорта(без бейджа), хамской форме , грубо повышенным тоном хотела отстранить посадки самолёт, слов ручная кладь не стандартной, пришлось выкладывать вещи , нервничать , довела гипертонического криза. летела рейсом др 225 место 27д, вылет в18 часов 20 минут. вес ручной клади 5-6 кг, плюс дамская сумочка. стойке регистрации не предупредили, дамскую сумку нужно доплачивать. попыталась объясниться, сказано, должна оплатить смолку 3500 рублей, вопрос , не успеваю грубой форме сказано, значит не полетите. прошу разобраться сотрудницей. такое хамское отношение не допустимо ",12 мая 2021
12,10," производство фасадного сайдинга компании доломит хороший завод, динамично развивается, растет .коллектив активный дружелюбный, ответственный. нам нравится сотрудничать заводом. ",13 апреля 2021
13,1," зря потраченное время, испорченное настроение выброшенные ветер деньги самое переоцененное место москве! территории смотреть совершенно нечего, кроме трех церквей, которые видны, подняться москворецкий мост. цена 700 рублей унылую пробежку продуваемому ветрами холму совершенно не стоит! москве полно мест поинтереснее гораздо дружелюбнее туристам. кремле снуют какие-то охранники, билетеры прочие фсошники, которые любой момент могут (как кажется) пристать посетителям различными требованиями, как-то: предъявить документы, не ходить, не дышать, не говорить! том, сами вопросы не отвечают демонстрируют откровенное хамство. хотите испортить настроение - добро пожаловать! ",11 апреля 2021
14,10," детям интересно! интерактивной программе азбука народной жизни , дети полностью погружены действие. музей небольшой, игровые программы потрясающие. ",22 марта 2021
15,10," святая благодать посещаю монастырь 2013 года. не удается прилететь 6 месяцев, душе тягота своей несостоятельности. туда хочется приходить чаще чаще. это место душа очищается отдыхает мирских тяжб грехов. нет места благостнее. всем чувствуется забота доброта. уезжать не хочется. это действительно святое место покровительство матронушки господа ощущается. ",20 января 2021
16,1," service: no go 29 сентября 2020 центре москвы. проездом швейцарии. ностальгии зашли елисеевский магазин: попрежнему ароматный запах, великолепная архитектура атмосфера, отношение покупателю: „no go! - абсолютно немотивированный персонал, частности, стойкой продаже/подаче (холодного!) кофе-капучино ☕️, неприветливый негостеприимный staff, это всем том, магазин пустой гостей вообще нет! жаль! ",30 сентября 2020
17,2," сотрясение мозга, из-за не соблюдений техники безопасности работниками аэропорта. 12 сентября около 08:30 работник аэропорта огромной тележкой , гружённый чемоданами полной скорости въехал моего ребёнка. ребёнком упал , ударился , получил сильную гематому затылке, диагноз сотрясение мозга.после нашего возвращения, медпункта сопровождении скорой медицинской помощи, место случившегося ограждено лентами дня очереди людей. это стойка информации авиакомпании azur. поездку пришлось отменить , госпитализировали . аэропорту необходима разметка , стоять пассажирам, должны передвигаться тележки багажем. траектории т.д. ",16 сентября 2020
18,1," самый ужасный аэропорт. персонал работающий любых магазинах банально не курсе клиентоориентированности. не курсе технике безопасности. очень печально, люди стоящие продажей часов бургеров не хотят помочь вопросе покупки. брошенная сумка аэропорту присмотра протяжении двух часов осталась лежать. всем плавать. аэропорт внуково полная дичь. ",16 сентября 2020
19,10," супер! великолепное место!!!красиво, ухоженно, чисто!из тех мест, хочется вернуться! ",29 июня 2020
20,10," впечатления, которые не купить. дети порадовали подарили турпутевку,предложили выбрать место,заказывали туроператора калейдоскоп. захотелось посетить чарующую москву. потратила 2 дня, впечатлений получила жизнь, посетили такие достопримечательности, дворцы палаты, экскурсиэкскурсию заказать любой,а скромную оплату входит ещё завтрак,вообщем отличный подарок нам мужем годовщину. ",27 марта 2020
21,7," восхищаться, ругать, памятник данность москвы, своего рода символ! видно издалека. центре города мимо не пройдете))) остановиться сделать фото фоне - это также привычно башни самого кремля. ",06 марта 2020
22,10," классический русский балет!!! щелкунчике - это полный восторг новогодняя сказка! одном дыхании. отдельно хочется отметить зал - не большой, камерный, любом месте сцена, ладони. декорации - выше всяких похвал!театр удобно расположен центре города, цены средние москве. общем, рекомендую посещение театра! ",06 марта 2020
23,10," рекомендую, особенно, находитесь где-то рядом очень атмосферное место! словно переносишься несколько веков назад. интересных локаций. небольшой территории спокойно, не мешая друг другу, могут проходить пленэр студентов художественных вузов свадебная фотосессия. территории подворья как-то осчобенно тихо уютно. ",06 марта 2020
24,7," посещения сотались смешанные эмоции. обной стороны - это всесело, это ново москвы, это раз...с -это полностью рассчитано туристов. не такие высокие наши воробьевы горы, прекрасная альтернатива - панорамный метромост (который дешевле несколько раз), пресловутое : не видел ))если приехали друзья/родственники/просто хорошие люди, которым будете показывать москву - отведите прокатите канатке, специально ехать сомнительное развлечение ",06 марта 2020
25,9," сложно что-то сказать царь-колоколе: видишь самого детства учебниках истории, обзорных экскурсиях...быть территории кремля пройти мимо - невозможно)) общем, это такая достопримечательность, фотография которой есть, пожалуй, каждого москве. наверно, это хороший тон сфотографироваться самым колоколом ( пушкой))) если, конечно, будешь быстрее туристов дальневосточных рубежей) ",06 марта 2020
26,9," несколько родственниками регионов детьми. понравилось всем. очень качественные шоу-программы. собственно из-за программ посещали москвариум. разу не пожалели. да, цена семью ощутима, оно стоит. бонусом погулять вднх). ",06 марта 2020
27,9," хочет сказку - тому сюда доме-музее васнецова раз. сначала школе классом, самотсоятельно. самое сложное -это дойти метро не заблудиться улочках переулках. тем, осилил путь - попал удивительный мир русской сказки. мир васнецова - это особое видение русской культуры. время словно замирает. музее прикасаешься не творчеству, словно становишься членом семьи васнецова.из неудобств - экскурсии музею расписаны очень плотно, нужно суметь вписаться. ",06 марта 2020
28,10," внзавод, сосед артплея, взгляд студенческий, свободный творческий. артплей это британка, марш, бутики, бутики офисы. выставки довольно комерческие, массовые. винзавод люблю кинотеатр, магазин передвижник, адекватные цены еду не дорогую парикмахерскую. выставки, очень молодежи, маркет летом проводят пару территории, очень удачно попадала недорогую одежду студентов выпускников. ",01 марта 2020
29,7," москвариум очень любят мои дети, идти будни утра, отлично. идти вднх далеко, гольфкары, паравозики не дожидались. парковка самого аквариума 2500!!! проездом территорию кпп7, 500 руб экологический сбор . билет не дорогой взгляд, животных жалко. старею, сентиментальная тетка становлюсь, цирки аквариумы веют тоской тюремным духом. празники, не ходите, народу тьма тьмущая. момент, поставить побольше надписей смотрителей наблюдать поставить, люди не стучали акваримумам сумашедшие, это дико. бюфет хороший, здоровой пищи маловато. побольше образовательных мастер классов, же, минутка гуманизма, убрать контактную зону, добавить зал позовательными фильмами инсталяциями водный мир музее дарвина. ",01 марта 2020
30,10," не бизнес обожаю москву-сити, особенно смотровую панорама мороженным, очень круто, дейтвительно стоит своих денег экскурсия виды, дети восторге. плюс экскурсии идет посещение афимолла, взглят самый любимый торговый центр, главный минус это метро транспорт, попасть завершение начала выставок экспоцентре, опа, метро выставочная превращается кузьминки час пик, да интервалы поездов! смело илите красной пресни 1905 года, елси погода хорошая. ",01 марта 2020
31,10," бесплатные экскурсии елисеевский гастраном. не рассматривала елисеевский магазин, наверно реальныи продуктами очередях стояла бабушка. рассматриваю музей, поход кафе. купить что-то сувенирное, московское, недавно узнала провдятся эккурсии.бессплатные, дада, бывает. информацию узнать самом магазине, вечернее время пройтись магазину группой послушаь рассказ истории магазина полистать архив фотографий. кажется нудная, скучная бесплатная экскурсия, ан нет, реально очень интересно послушать. ",01 марта 2020
32,10," лучшее выставочное пространтво москвы люблю гостиный двор. отличные выставки, нон фикш проводится тут, не цдх, очень радует. не люблю цдх, планировке, расположению.тут ближе идти метро, перекусить шде угодно, побывать историческом центре (москвичи редко выбираются красную прощадь, знаю), очень интересные лавки кафе верхних этажах. 10 лет посещаю выставки мироприятия там, случайно заглядываю организация высоте, заходя главный вход чувствуешь вип приглашенным спускаясь лестнице. ",01 марта 2020
33,4," неприятное обслуживание очень заметно разное отношение пассажирам баре fosters.очень долго ждали официанта, баре занято 2 столика. дождались официанта - здравствуйте не сказали. сделали заказ, принесли пиво, наверное, этом, думали, люди нашей внешности пьют исключительно горла . ждали сорок минут стаканы...обслуживали так, чем-то обязаны официанту, обязательства свои не выполнили соседний столик сели европейцы, появилось здравствуйте желаете , обслужили соседей очень быстро. ",24 февраля 2020
34,1," ужасно. вашему онлайн–табло внуково рейс fv 5883, выполняемый авиакомпанией россия маршруту москва – гоа (индия), вылетел внукова 20 час.01 мин. 29.01.2020, город назначения (аэропорт) не прилетел. сейчас, 10.40 утра 30.01.2020, всё ещё летит. вашем (по аэропорту внуково ) табло отслеживанию полетов реальном времени рейс вообще не взлетел. звонил справочное аэропорта, этому поводу не смогли пояснить, - просто ответили, не знают. самолете летели жена, дочь, внучка зять. просидел компьютера утра, пока сайте авиакомпании россия не узнал, интересующий борт взлетел раньше 36 мин., указано указано вашем табло. посадку всё совершил аэропорту назначения, сегодня 5.09 утра. сих пор летит! то, сообщили, борт взлетел, хотя наврали временем, ставлю оценку - ползвёздочки. ",30 января 2020
35,9," ледовая москва поклонной горе дарит огромное количество хороших эмоций! недавно посетила фестиваль ледовая москва поклонной горе. организатором большое спасибо такую сказку, новогоднее настроение чудесные воспоминания. территории находится несколько тематических павильонов ледяными фигурами ( теплый павильон - песочными фигурами ), ледяные горки детей взрослых, ледяные фигуры, сделанные знаменитыми актерами другое. понравились песочные фигуры теме космоса, горки интереснейшее шоу танцоров акробатов. такого фестиваля появилось море красивых оригинальных фоток телефоне соцсетях. поехать, советую одеться очень тепло взять ледянку ;) ",06 января 2020
36,10," советую всем, будете очень довольны! тайна новогодней звезды цирке замечательная программа! дети 6-11 лет восторге! спасибо огромное артистам чудо!!!! ",15 декабря 2019
37,10, история - это очень интересно! очень понравились экспозиции. прослушала лекцию цикла московские тайны . обязательно приду ещё. невозможно всё подробно рассмотреть. нужно ходить чаще посвящать этому времени. спасибо огромное! ,26 ноября 2019
38,2," ужасно ужасно!!!!помещения касс очень маленькие, создает толчеюдвери кассы приоткрыты га одну створку , создает заторы нервозность. кассиры балансируют хамством латентной ненавистью посетителямдаже не стали покупать билеты, хотя давно хотели просмотреть музей шок сравнения персонала музеях границей лицо москвы ....соотечественники - погуляйте - сбережете нервы деньги ",20 октября 2019
39,2," мрак мрачное место. вышел оттуда совершенно подавленным. хотя весел бодр, праздник красной площади был. ",10 октября 2019
40,10, отлично. очень интересно было. очень хороший экскурсовод. ,13 сентября 2019
41,4," работа шереметьево налажена отвратительно. прилетел китая. пограничном контроле скопилось огромное колличество пассажиров, преимущественно китайцы. прошли погран контроль, багаж ленте, забирать некому, погран контроль не справлялся патоком. грузчики начали сбрасывать чемоданы ленты , выложить весь багаж, бардак, одним словом, китае отличии , вобще проблемм таких небыло . затем пошол местный рейс терминал d . персонал не справляелся регистрацией рейсы. народ возмущен, нервах. очереди стойки длительные.люди просто опаздывали. это аэропорт столицы. позор! ",31 августа 2019
42,3," плохая логистика, бездушный персонал. сегодня не улетела сыктывкар рейсом аэрофлота 8.40 причине отказа регистрации (опоздала 5 мин). удаленная регистрация моему билету недоступна, т.к. куплен мили 3 т.р. сборы. простояли пробке 2 км терминала из-за грузовых фур 30 мин. нужна такая армия обслуживающего персонала, ничем не могут помочь. поставьте роботов улучшите логистику. потеряла деньги, мили, здоровье... ",28 августа 2019
43,4," крысы около входа бегают крысы, лазят мусорки около лавочек, не очень хорошее впечатление.... прохожие останавливаются ужасе этим наблюдают . ",14 августа 2019
44,10," милый парк центре москвы бываю музеоне довольно часто. цдх, филиал третьяковской галлереи, проводятся выставки. одна последних - репин.и бывает, насмотревшись шедевры, выйти милый зеленый музеон, пройтись уютным дорожкам, вдохнуть свежей листвы, выпить чего-нибудь прохладительного. красиво, ухоженно.впрочем, музеоне прекрасно погулять посещения выставки, выставкой удовольствие двойное)). ",25 июля 2019
45,10," очень красиво! буквально намедни большом театре. очень понравилось.не столько антураж, хотя бархат, хрусталь, позолота... месте органично.но поразила спектакль (балет). это высочайшее мастерство танцоров, видно это супер школа! сразу веришь россии лучший мире балет.но дело не мастерстве исполнителей. освещение, декорации, костюмы... супер уровне. смотришь сцену замираешь созерцания какого-то другого нереального мира.ради целостной первоклассной картинки стоит побывать! ",25 июля 2019
46,10," главная усадьба сих пор реставрации, давно подновили открыли храм, также парк. парк скажу отдельно: масса небольших кафешек, чумовые детские площадки, отлично оборудованный стадион (покрытие, трава, тренажеры вокруг), площадки барбекю - короче, плане инфраструктуры останкинский парк просто 5+. ждем нетерпением, закончат реставрацию усадебного дома, когда-то устраивали потрясающие концерты барочной музыки, надеемся, возобновят. ",20 июля 2019
47,10," музеон последнее время не узнать - масса уютных мест, посидеть кружкой кофе, бомбическая набережная зданием новой третьяковки классные детские площадки (это важно, оооочень важно) ",20 июля 2019
48,10," никитский, поварской, чистопрудный.. вооружаемся гиляровским, вперед. московское бульварное кольцо улочки вокруг - одно лучших мест прогулок знакомства живой историей москвы ",20 июля 2019
49,10," модное место, немецкие кластеры отдыхают сравнению масштабом креативности хипстоты русской души)) целом пятерку - отдохнуть кафешках, закупаться оверпрайс шмотом (ну почему нет), обогатиться культурно концерт открытым небом посетить. организация фестиваля (саммерсаунд), кстати, уровне (гроза - дождевички волковской пивоварни, отдельное спасибо) ",20 июля 2019
50,10," части шоппинга говорить не буду, плане архитектуры цум - одно моих любимых зданий москве) странное, не месту, эклектика, готика кучу сказать хорошего плохого, нему привыкли, образ театральной площади не тот. новогодние праздники классно подсвечивают огоньками, выглядит большой подарок) ",20 июля 2019
51,10," большой магазин большой магазин! все! чего-то не нашли, значит плохо искали! главное – держаться вместе, вероятность увлечься покупками потеряться! самое основное – это удобная обувь сила воли, самый суровый прижимистый человек не уйдет отсюда покупок. практически найти магазины, которых идут распродажи предлагаются хорошие скидки. ",19 июля 2019
52,10," плюсы: действительно магазинов, самых разных, фудкорты, кинотеатр, общем, застрять весь день.минусы: застрять весь день :) ",19 июля 2019
53,10, огромная историческая ценность действительно сокровищница. очень интересно! ,27 июня 2019
54,10," поезд лев толстой - это очень хороший вариант тех,кто любит комфортные условия, приятный сервис доступные цены. поэтому, хотите добраться финляндии, не знаете, приобрести билеты, можете смело брать оф. сайте. ",04 июня 2019
55,3," хорошая обертка, плохая начинка. место хорошее. можете нормальную музыку ставить детям таком замечательном месте? ужасный стук ушам? можете проверять музыкальные коллективы, которые участвуют? ",23 мая 2019
56,6," 18.05.2019 посетила гим рамках акции ночь музее. специально спланировала отпуск дату. попала мастер-класс заряжаем пушку . стоит ограничение 10+. группе дети младшего возраста, отвлекали внимание. не понравилась подача материала диалог преимущественное обращение детям. пришла получить новые знания, не увидеть урок истории. результате, ушла середины мероприятия. получается, дети мало поняли силу возраста, скучно слушать ответы вопросы теме, которую вообще не знают. может, стоит делать отдельно экскурсии детей? ожиданий акции, получилось разочарование. ",20 мая 2019
57,3," прошу пересмотреть организацию досмотра почитателей. простоять очереди выставку полтора часа просто такая организация. работает человек обыскивающий людей. начался дождь стоять мокнуть ожидать предвкушать искусство. страна третьего мира. потрясающе. не китае, миллиард людей это неизбежно. организация отвратительно. выставка понравилась. ",10 мая 2019
58,1," совок полный, уровня ещё далеко! терминал в:рейс москва -сургут зарегистрирован лайн.не приняли багаж рейс, вылета 40 мин. идите кассу, берите новый билет,мой промо, замены, разъяснений, объяснений.развод деньги, тянули время, позвонили не пропустили зону выхода самолёту. такого отношения рф, рубежом ещё встречал! полный совок, игнор, бойкот вылетов моей стороны термтнала аэрофлотом ((( ",03 мая 2019
59,9," самый лучший поезд путешествий отличный поезд, езжу нем достаточно часто, поэтому уверенностью могу сказать, вполне комфортабельный. вагонах очень просторно уютно, настоящая редкость наших поездов. ",21 апреля 2019
60,4," монастырь-это духовная пристань, это не ощущается 19 марта 2019 приезжала монастырь, поклониться мощам св. блж.матроны.записки написала дома, оказалось,что монастыре установлен лимит заказные записки-10имён!!!! одной указано 18,в 13. сестра дала ножницы обрезала лишек имён!!! одном монастыре не встречала такого!!! цены требы заоблачные.остался осадок душе,что деньги правят бал не миру,но монастырях. ",20 марта 2019
