,mark,review_text,date
0,1," туалеты набережной сервис сочи оставляет удовлетворенным, но: несмотря курортный сбор, туалеты набережной продолжают платными местные отряжают 5 сотрудников, туристов не сходил туалет. позор курортному городу, спб дворцовой пл. давно бесплатные туалеты. платим курортный сбор???? ",14 апреля 2023
1,6," нет возможности отдохнуть турции отдыхали конце октября. отель grase horizonte приличный. номер балконом большой, удобный, новый. единственный минус это очень маленькая раковина ванной. первые дни завтраках ресторане народу немного, ресторан маленький. начались осенние каникулы - ресторан вместить не состоянии. завтрак превратился проблему. не предстовляю, помещаются нем сезон. самой еде претензий нет, вкусно, меру разнообразно. целом город красивый, зеленый, встречаются странные персонажи. парке прямо пляжем какой-то полупьяный урод не давал покормить кошек. угрожал неадекватный. вообще сервис ненавязчивый, сильно отличается той турции. целом отдых получился неплохой, не вызывает желания отдыхать ещё раз. ",31 октября 2022
2,1," хозяин гд лиза - непорядочно поступает!!!! гостевой дом лиза адлере. выбрали месторасположению, наличию мест фото сайте. факту: приехали аэропорта маленьким ребёнком, наш номер буквально вот- продали, не ответили звонок .а это время спокойно летели самолёте, немного уставшие, предвкушении быстрого заселения прогулки морю. хозяин крайне непорядочно поступил, правда улице не оставил: заселил другую часть города, номер пахнущей канализацией непрерывно летящими самолётами головой. не бронируйте, учтите наш опыт выяснилось не наш!!!! ",28 сентября 2022
3,2," поездке запаситесь регидроном, полисорбом жаропонижающим! поберегите свое здоровье обойдите сочи стороной выборе места отдыха! отдыхали лоо 8дней! 3 дня купались море, не вылазили воды! четвертый день всей семьёй хапанули ротовирус, переболели так, думали помрём, температурой, рвотой поносом! оклимались день вылета! итоге провалялись номере, мало потратили кучу денег! сочи билет дешёвый самолёт, обратно дороже раза - чисто замануха! мониторьте цены билеты сразу. аэропорт, полное днище - херова туча ларьков кафе, сесть пассажирам негде! дороги вечно перегружены, нет мест парковки! общем городе первый последний раз! крыму херни нет! ",25 сентября 2022
4,1," мрак! ужасный город. постоянно отключают воду электричество, объясняют это внештатной ситуацией. водоканала г. сочи сплошные отписки, включат никто не знает. не пять минут отключают, бывает около суток. думайте туалет сходить помыться. везде грязно. какие-то непрекращающиеся стройки. это точно курорт? дороги узкие, постоянные пробки. море грязное. ротовирус подхватить проще простого. поднимись выше центра, никакого тротуара. постоянно бездомные собаки, которые сбиваются стаи. ",23 сентября 2022
5,1," гадюшник это самое ужасное место отдыха , зас …. полный кошмар , ещё крым обсе…. намного лучше, первый последний ",20 сентября 2022
6,2, днище ад плюсов красиво остальное одни минусы:супер душно ночьюгород всё время пробкахнет парковок работает организованная группировка эвакуации машин вымогательству денег штраф стоянку эвакуируют мест нет знака работает эвакуаторобщепит дороже москва иди питерв целом место не отдыха стреса достаточно изолироаано ,14 августа 2022
7,4," обслуживание низшем уровне. хочешь воспользоваться услугой, платишь неё, какие-то несоответствия предоставлению - виноват сам. брали экскурсии: джипинг - постоянно происходят несоответствия маршруту(впечатление хорошее, осадок плохой организации). автобусе - красной поляны( не предупредили, платить вход возможной пробке обратном пути). 4 1 - океанариум, пенгвинарий, экзотеррариум, дельфинарий - оказалось 3 первых одном помещении. 3 пингвина, питон(он реально 1), рыбы. короче экскурсиями воспользовались последний раз, приезжали основном посмотреть природные достопримечательности. всё бешеные деньги - сервис нуле. жильё-отдельная тема. всё зависит того, попадёте. обговаривайте все-все детали ",25 июля 2022
8,2," правда сочи 2022 отдыхаем сочи, конец июня, начало июля 2022,как многие поехали безысходности вариантов. никуда не поехали, пользуясь обстановкой, дельцы турбизнеса сочи задрали цены, именно аренда лежака одного 700 рублей. двое, должны отдать 1400 руб. день лежаки. наш народ богат, не настолько, большая часть людей лежит свободной полосе лежаков друг друге, 80%процентов лежаков пустые. хотела задать вопрос администрации сочи, забота людях? цены питание набережной это тема, шарик мороженого 200 руб., бокал вина 500руб.,пиво 350 руб. блюда среднем 500 руб. помидоры местные 200р.,черешня 300р.и даде огурцы 150р.в общем хотите отдых полной программе включено, готовьте денежки. сочинцы видимо считают приехали сильно разбогатевшие россияне. ",02 июля 2022
9,3," не доверяйте фото сайте не оплачивайте бронь пока сами не увидите сочи, п.магри, база отдыха лунная поляна . полулюкс - это узкая комната дощатом сыром домике среди деревьев. соседнего номера отделяет тонкая перегородка, всё слышно. душевая кабина течет. телевизор висит входной дверью потолком. рядом навес прогнившим полом которого опасно торчат гвозди. плюсом такому размещению пренебрежительное отношение персонала, одолжение сделали вообще поселили ( это заранее оплаченной брони!) ",11 сентября 2021
