,mark,review_text,date
0,10,"
Обязательно посетить Большое спасибо хозяйке галлереи за  ее творчество и позитив! Получили море удовольствия и координально изменился взгляд  на жизнь! 
      
      
",21 сентября 2022
1,3,"
Приветливый берег Приехали с детьми семьей на ул. Луначарского санаторий Приветливый берег. Море очень грязное, мутное, плавает хлам, рвота. В санатории еда совсем не вкусная, плохо сваренная пища, все одинаковое, без отходное приготовление. В итоге понос и рвота у всей семьи. Дети с температурой три дня и пять дней болели и до отъезда не выздоровели не отдохнули. Потраченные деньги. Отдых испорчен. Не рекомендую от слова совсем!
      
      
",17 августа 2022
2,3,"
Убогие пляжи, мусор и грязь Убогие пляжи, мусор, грязь и разруха.  
      
      
",13 августа 2022
3,1,"
Отключение воды каждый день, 2022 год, август Нет воды ни горячей ни холодной с 13 часов до 19 часов в многоквартирном доме на ул островского. Это не курорт, а смех и слезы....на улице сейчас 35 градусов, туалет смыть нечем. УК Прораб говорит, что так они экономят....
      
      
",10 августа 2022
4,2,"
Испорченный отпуск Отдыхали в Геленджике с 27.07-07.08.2022. Город понравился очень , но хотелось бы очень оставить отзыв о хозяйке, которая нам сдала по ее рассказам изначально «дом в наше распоряжение» этот дом находится по адресу : Степная 32, сдают его ещё по адресу : Толстого 63, это совсем рядом , так вот , если вы услышите этот адрес - бегите оттуда сломя голову . Хозяйка испортила весь отпуск свои  навязчивым присутствием , постоянно лезет с нравоучениями и советами , то ей воду поздно включили , то рано пришли , последней каплей было отключение роутера от сети , и рекомендацией принимать душ раньше . Хозяйку зовут Марина , люди , бегите оттуда и не возвращайтесь , отпуск испорчен 
      
      
",06 августа 2022
5,4,"
Сразу отмечу, что на въезде в город уже года 2 делают дорогу, благодаря чему образовывается пробка на несколько км и на неопределённые часы. Провести отдых в Геленджике получится хорошо/отлично только если вы снимаете жильё в самом городе. Мы жили в голубой бухте, которую с городом разделяет взлетная полоса. Чтобы добраться до города или обратно в бухту нужно сделать большой крюк на машине. Автобусов приходилось ждать несколько часов подряд, даже навигатор не помогал. Легче вызвать такси, но придется заплатить 400-500₽! Из города ехать все тоже самое,  легче на такси. Даже расписания, висящие на остановках не помогают! Какая администрация - такие и работники.В столовых цены приемлемые и вкусная еда, например, в столовой 88 нам очень понравилось, особенно картофель с салом. Также рядом есть кофейня Naked Coffee с вкусным кофе. Красивые пляжи с не менее красивыми видами на горы! Есть детские зоны с ведущими.Экскурсий куча! Выбирай - не хочу, как говорится:)

",28 июля 2022
6,7,"
Кидают с морскими прогулками Забронировали на 28.07.2022 катер «Вояж» с центрально ого причала, приехали ко времени оказалось катер сдали ещё кому-то в аренду.В итоге потрачено время (залог вернули).Ребята делают деньги, аренда выгодней и даже не считают нужным предупредить об отмене.
      
      
",28 июля 2022
7,1,"
Ужас в Геленджике Ужас на пляже все пляжи закидали платноми лежаками нету места для отдыха лежаки жолтого цвета грязные люди лежат на них не какой дезинфекции когда по всему миру ковид!!  Спросили про когда их обробатовали то нам сказали не нравится или в другое место . 4 года отдыхал подряд в Геленджике щитаю что испортили Геленджике одых не советую сдесь одыхать . Кто в Геленджике сейчас посматре все жолтые лежаки грязные а про дезинфекции и слова некто не знает 
      
      
",17 июля 2022
8,10,"
Отдых может быть разным! Очень атмосферное место! Обязательно к посещению. Да, много туристов, но если прийти пораньше, к открытию, можно с удовольствием погулять по тенистым аллеям. Каждые полчаса проходит обзорная экскурсия, очень доступно и интересно рассказывают идею парка. Гуляли долго, рассматривали каждый камушек, цветочек, дерево, всё с душой! Спасибо за такое приятное место! Обязательно сходим еще в театр!
      
      
",24 июня 2022
9,10,"
Лично я всем советую хоть раз в жизни посетить Геленджик! Что я могу рассказать о своих впечатлениях и эмоциях о Геленджике? Во первых-это чистый воздух,горный,очень полезно для здоровья,но сильные ветра,второе-зелёные зоны,много деревьев,тоесть всё во благо экологии,это хорошо,цены иногда кусаются,смотря где покупать,новогодние праздники тут можно провести,как я думаю,приятно,очень эффектная ёлка нынче 
      
      
",28 декабря 2021
10,3,"
Отдыхать - не работать! Но..  одного раза в Геленджике мне достаточно.  Лазаревское пусть нас ждет! Туда реально хочется вернуться! Прочитала отзывы - захотела тоже написАть. Вернулись из Геленджика 25 сентября 2021 г. Была там в первый раз. Хотелось посмотреть на набережную, песочные пляжи, и оценить удобный трансфер (Аэропорт.. и уже там). Очень давно отдыхаем в Лазаревском (оттуда,кстати, приехали 16 июня 2021 г.).  Неоднозначно. Понравилось - Набережная - супер!, Канатная дорога, колесо обозрения на горе-экстремально здорово!, пивная вечеринка на горе, дискотека на корабле - без комментариев, на высшем уровне!, устрицы, креветки и мидии из Дивноморской ракушки - просто бомбические, пальчики оближешь! Не понравилось-море в бухте - грязное (купаться можно только в открытом море (100 рублей на такси)), запах канализации после дождя, еда в столовых (невкусно и дороговато), отсутствие ночной жизни (в 22.00 вечера - на набережной-ТИШИНА), туалеты...я просто в шоке! -просто грязные, вонючие, платные ДЫРКИ!Кстати, нам,наверное повезло. Мы обошлись без отравлений, Ротовируса и всякой гадости. Вот как так.
      
      
",13 октября 2021
11,1,"
Полная хрень. Море очень грязное и вон такая на берегу от водорослей что хочется блевать. Больше никогда не поеду!
      
      
",01 сентября 2021
12,4,"
В Геленджике не стоит отдыхать с детьми( Геленджик - очень красивый город с большой набережной, много развлечений для взрослых и детей.НО, к большому сожалению, мы семьёй больше сюда не приедем. Море очень грязное, в центре набережной сильный запах канализации, невозможно дышать. Удивляюсь, как там можно посещать кафе и другие заведения, и жить в дорогих отелях.Мы купались дальше от центра, ближе к Толстому мысу, запаха такого не было, но всё равно подхватили ротовирус. На третий день отдыха заболели младший сын и муж. И через два дня старший и я. Уже 8 дней лечимся, отпуск заканчивается, и думаем, как доехать через два дня домой.Очень страшно за здоровье детей! Подцепить ротовирус можно в городе, даже не купаясь, просто от контакта с отдыхающими.Поэтому для себя решили, ездить на отдых только в небольшие посёлки, где меньше людей и открытое море.
      
      
",28 августа 2021
13,3,"
Ужасно грязное море Я запомню навсегда отдых а Геленджике. Отдыхали в августе 2021 года двумя семьями 7 человек, из них трое детей. Море было ужасно грязным.  В итоге на второй день все подхватили ротовирус - рвота, понос, слабость, температура. Сыну было хуже всего, нас положили в инфекционную больницу Краснодара, в которой мы были до конца отпуска. В прошлом году подхватили ротовирус в Сочи, но без осложнений. Больше ни ногой в моря краснодарского края.В остальном город красивый, цены не так завышены, как в Сочи и Адлере 
      
      
",23 августа 2021
14,1,"
Выкинуть деньги просто на улице будет не так обидно. Просто ужасно!!!!! Привезла пожилую маму на отдых и очень пожалела!!!! Море просто дико грязное, в нем мусор, пакеты, остатки еды, вода зелёного цвета, водоросли!!! Уже на 3 день мама слегла с ротовирусной инфекцией, а я вслед за ней, в последние дни уже правда. Всё втридорого. И когда ты это покупаешь, тебе ещё и нахамят!!! Ужас, нигде не встречала таких грубых и невоспитанных продавцов в магазинах, фармацевтов в аптеках, продавцов на набережной!!! Просто кошмар. Никогда больше не поедем в Геленджик и никому не посоветуем

",23 августа 2021
15,10,"
Геленджик - это сказка! Добрый день всем, кто ""сюда больше не приедет""! 1. За детьми надо смотреть. 2. Фрукты и овощи надо мыть(тщательно). 3. Когда едете или летите отдыхать надо сразу брать с собой лекарства от инфекции. Даже, если вы летите в свою любимую Турцию, где нам пришлось заплатить немалые деньги за лечение ребенка от ротовирусной инфекции. Но лучше гореть в огне в Турции, чем просто включить мозги на Родине.  4.  И, наконец, в этом году на побережье были погодные катаклизмы, бури, ливневые потоки, смерчи, которые, кстати обошли Геленджик стороной, но грязь и мусор из Анапы приплыл и сюда.  Если откроете свои зашореные глаза, то обратите внимание на то, что катастрофы погодные пронеслись по всему миру. Не ищите виноватых, сами отвечайте за себя и своих детей.
      
      
",22 августа 2021
16,2,"
Ужасно. Ротавирус. Ужасно. Приехали, искупались в море. Через два дня Сначала заболели ротавирусом трое детей, затем мы с супругой. Рвота, диарея и температура. Народу на пляже столько, что некуда приткнуться. Если только до 9-00. Никому не советую купаться в море здесь. Не помню вообще такого, чтобы мы все в пятером одновременно болели.
      
      
",20 августа 2021
17,3,"
Ротавирус!!! Геленджик - очень красивый город, куча интересных мест и достопримечательностей. Но есть одно ОГРОМНОЕ НО: страшный ротавирус!!! Мы с мужем приехали сюда на 10 дней, 5 из которых мы мучались от рвоты и поноса, а когда вернулись домой начался ад, рвота, понос, температура 39, сейчас пошёл 5ый день как мы дома, сегодня повторно заболел муж, видимо в Геленджике мы лишь переведи своё состояние в ремиссию. Лечимся уже всеми возможными способами, сдаём анализы... море, действительно, очень грязное, вонь стояла на набережной и в самом море, когда купаешься чувствуешь этот запах. Страшно, очень страшно!!!                     
      
      
",18 августа 2021
18,2,"
Опасно для жизни! сильный ротовирус Море и  вода опасны для здоровья, так сильное мы еще не травились! Оказывается в этом городе это норма и всем как бы все равно, соседи наши и случайные встречные люди с которыми общались тоже болели аж от 5ти дней. Тело все скручивало,, было холодное очень, постоянно тошнит, слабость, обезвоживание и это очень серьёзно!! Такого раньше не было.. Хотя соблюдали меры гигиены, пили только воду в бутылках и не глотали воду в море. Местные бизнесмены пытаются навариться на всем Втридорго, но при этом качество всего - среднее. будь то еда , какие-то вещи и те же номера отеле, цены как в европе особенно в сезон..., в аптеках особенно 'эконом' ))) цены на лекарства против ротовируса завышены из за очередей. Связь ловит плохо, раз в день отключали свет и воду. Персонал везде избалован. PS в море сливают все отходы и никто это не очищает плюс это бухта и она не омывается, сам видел за бухтой эти сооружения. Так что делайте выводы. 
      
      
",02 августа 2021
19,1,"
Купание в море опасно для здоровья! Огромное количество народу на пляжах, место не то, что для лежака, даже для полотенца удаётся найти с трудом.  И так с 8-00 до 20-00. Море очень грязное, вода  мутная, прямо  в зоне купания плавают фекалии. Дочка с зятем на третий день отдыха подхватили ротавирус, хотя соблюдали все правила  гигиены. Вместо отдыха получили сильнейшее расстройство желудка с многократной рвотой и температурой. Отпуск испорчен. Как поняли из общения с людьми в городе, это не единичные случаи, а просто массовое явление!
      
      
",24 июля 2021
