,mark,review_text,date
0,1,"
Туалеты на набережной Сервис Сочи оставляет удовлетворенным, НО: несмотря на курортный сбор, туалеты на набережной продолжают быть платными и местные отряжают по 5 сотрудников, чтоб ни один из туристов не сходил в туалет. Позор курортному городу, когда в СПБ на Дворцовой пл. давно бесплатные туалеты. И за что мы платим курортный сбор????
      
      
",14 апреля 2023
1,10,"
Познавательно Отличная экскурсия Благодарю экскурсовода Андрея Александровича .Очень рекомендую посетить музей именно в сопровождение экскурсовода 
      
      
",07 апреля 2023
2,4,"
Санстанция гребёт лапаткой и все. Набережная это ужасное состояние плитки  но есть ещё интересней ужасная вонь масел горящих на центральном гор пляже от макдональдса или как сейчас называют точка и все...фильтров нет как санстанция выдала разрешение или за сколько
      
      
",13 марта 2023
3,1,"
Январь 2023 год, впечатления осталось плохое от центральной набережной!Лица кавказской национальности, собирают с сидящих людей , даже и детей деньги в сумме 200-400 рублей час, за то , что он присел, может это и развод , но они там постоянно своим аулом и кто отказывается платить начинают обзывать животными!!! Портят всё!
      
      
",12 января 2023
4,4,"
в Сочи? Нет!!! Полнейшее разочарование, сезон 2023 ужасен. Я пожалел что приехал в Сочи на отдых. Полно людей кто хочет нажиться на туристах, мошеннические манипуляции с sky pass на горнолыжках. Цены не соответствуют оказываемым услугам.
      
      
",06 января 2023
5,6,"
Иногда о главном на экскурсиях и не рассказывают... А около какого источника был тот камень, по которому стекала вода, ""оставляла следы, напоминающие утончённую женскую руку""?
      
      
",19 декабря 2022
6,10,"
Климовский замок - фееричное место! Незабываемое приключение - провести выходные в  средневековом замке. Если Вы думаете,  что в наши дни это нереально, то глубоко ошибаетесь!!! Есть такое прекрасное и атмосферное место   в Мостовском районе - Климовский замок. Там нас очень радушно  встретила замечательная  хозяйка замка - Татьяна и мы с друзьями феерично провели время! Попарились в русской баньке и в чанах с ароматными травами! Номера в средневековом романтичном стиле, есть общая кухня, где есть вся необходимая посуда, печь для приготовления пищи. На территории много красивых беседок для пикников и жарки шашлыка. Территория замка прекрасна (словами не описать), поэтому ниже делимся своим видеороликом.Желаем всем приятного времяпровождения! С уважением, Волковы Александр и Яна.
      
      
",13 ноября 2022
7,10,"
Адлер-лучший курорт России Самый лучший город курорт в России. Достопримечательностей там много.. Есть куда сходить, как взрослым так и детям.. На море есть набережная-обожаю там гулять по вечерам... Недорогие столовые... Жильё тоже не скажу, чьо дорого... Многие говорят, что Сочи это для миллионеров и что там очень дорого... Ну те кто там не был никогда, никогда и не узнаёт, что это враньё!!! У нас 3 детей и мы каждый год семьёй туда ездим, а было один раз, что за год 3 раза туда .. .. Ничего не дорого, там такие же магазины как магнит, перекрёсток и т. Д не обязательно снимать отель, можно снять аппартаментов, где и кушать самим можно приготовить... 
      
      
",05 ноября 2022
8,6,"
Если нет возможности отдохнуть в Турции Отдыхали в конце октября. Отель Grase Horizonte приличный. Номер с балконом большой, удобный, новый. Единственный минус это очень маленькая раковина в ванной. Первые дни на завтраках в ресторане народу было немного, ресторан маленький. Но когда начались осенние каникулы - ресторан всех вместить не в состоянии. Завтрак превратился в проблему. Не предстовляю, как все помещаются в нем в сезон. К самой еде претензий нет, вкусно, в меру разнообразно.    В целом город красивый, зеленый, но встречаются странные персонажи. В парке прямо над пляжем какой-то полупьяный урод не давал покормить кошек. Угрожал и был неадекватный. Вообще сервис ненавязчивый, сильно отличается от той же Турции.      В целом отдых получился неплохой, но не вызывает желания отдыхать здесь ещё раз.
      
      
",31 октября 2022
9,2,"
Позор Анапы Образчик кича и безвкусия.
      
      
",31 октября 2022
10,10,"
Здорово Добрый вечер. )) Были с другом в сентябре этого года. Смогли/попали)) в дом-музей. Положительные эмоции... А, ""главный"" по верхнему этажу приятно удивила... Человек явно любит/знает свою работу... И ни разу!!! Не сказала слов паразитов и нечленораздельных звуков!!! Заслушался!!! Нашим, на центральном ТВ стоит поучиться!!! Респект!!!
      
      
",28 октября 2022
11,10,"
Горки Город любимое место для отпуска Наш любимый  отдых с детьми с 2016 года. Ездим дважды в год в пересменку - май и начало декабря) когда зимний сезон или уже окончен, или еще не начался) прорву что супер приятные цены, а на лыжах лети и мы пока нк катаемся. Приезжаем сменить обстановку, любоваться горами, дышать невероятным горным воздухом. И Горки идеальный отель и курорт))) 🔥 потому что апартаменты 🤘🏼 готовим еду дома сами, дети любят что по проще: гречку, макароны и тд. Продукты покупаем в Перекрестке в Горки Молле;🔥отличная инфраструктура, много площадок, скейтпарк, есть скалолазание, и тд , даже просто прогулки по территории - это классно и увлекательно;🔥 фуникулер с 540 на 960 - как отдельный вид развлечения;🔥 Аквапарк шикарный)))🔥 много вкусных ресторанов с детскими комнатами) Мы ездим уже 6 лет 🤘🏼 и на этот декабрь тоже уже купили билеты и забронировали отель. Вы влюбитесь в это место так же как и мы, и будете возвращаться каждый год ❤️
      
      
",26 октября 2022
12,1,"
Отдыхали летом 2022 в гостевом доме Аурика. Нам не понравилось отношение хозяевам гостям. Не советую здесь останавливаться. 

",05 октября 2022
13,1,"
Хозяин ГД Лиза - непорядочно поступает!!!! Гостевой дом Лиза в Адлере. Выбрали по месторасположению, наличию мест и фото на сайте. По факту: приехали из аэропорта с маленьким ребёнком, а наш номер ""буквально вот- вот продали, потому что мы не ответили на их звонок"".А мы в это время спокойно летели в самолёте, немного уставшие, в предвкушении быстрого заселения и прогулки к морю. Хозяин крайне непорядочно поступил, правда на улице не оставил: заселил в другую часть города, в номер с пахнущей канализацией и непрерывно летящими самолётами над головой. Не бронируйте, учтите наш опыт и как выяснилось не только наш!!!! 
      
      
",28 сентября 2022
14,4,"
Были на дегустации 25.09.2022. Про вино ни чего не скажу (его не пью и не разбираюсь), но вот шампанское, которое они выдают за своё очень удивило. Производитель г.Уфа, в Перекрестке стоит рублей 190, а они продают за 500. На дегустацию съездить можно, но ни чего не покупайте. 
      
      
",26 сентября 2022
15,2,"
При поездке запаситесь регидроном, полисорбом и жаропонижающим! Поберегите свое здоровье и обойдите Сочи стороной при выборе места для отдыха! Отдыхали в Лоо 8дней! 3 дня купались на море, не вылазили из воды! На четвертый день всей семьёй хапанули ротовирус, переболели так, что думали помрём,  с температурой, рвотой и поносом! Оклимались только за день до вылета! В итоге провалялись в номере, мало где были и потратили кучу денег! В Сочи билет дешёвый на самолёт, обратно дороже в три раза - чисто замануха! Мониторьте цены на билеты сразу. Аэропорт, полное днище - херова туча ларьков и кафе, а сесть пассажирам  негде! Дороги вечно перегружены, нет мест для парковки!  В общем я была в этом городе первый и последний раз! В Крыму такой херни нет! 
      
      
",25 сентября 2022
16,1,"
Мрак! Ужасный город. Постоянно отключают воду и электричество, объясняют это внештатной ситуацией. У «Водоканала» г. Сочи  сплошные отписки, когда включат никто не знает. Не на пять минут отключают, а бывает и около суток. Вот и думайте куда в туалет сходить и где помыться.  Везде грязно. Какие-то непрекращающиеся стройки. Это точно курорт? Дороги узкие, постоянные пробки. Море грязное. Ротовирус подхватить проще простого. Поднимись чуть выше центра, никакого тротуара. Постоянно бездомные собаки, которые сбиваются в стаи.
      
      
",23 сентября 2022
17,2,"
Отвратительный Маленький посёлок, некуда сходить совсем,  пляжа нет, вход в море булыжники, о которые разбила ноги, в море впадает речка вонючка. Никому не советую. 
      
      
",23 сентября 2022
