,mark,review_text,date
0,4,"
Как-то 50 на 50. 50% природа + и 50% администрация -! В санаторий Лермонтов по путевке нахожусь сейчас. В се вроде бы ничего. Питание, как в летнем пионерском лагере помню. Но, вот не задача, куда не пойдешь нет ни одного магазина, аптеки, парикмахерской, туалета, но все это конечно, где-то есть, но где? Загадка! Но ходить надо то в гору, то опять в гору, то с горы, чтобы опять в гору!  Удобства нужны! Общественный транспорт отсутствует как таковой, есть, конечно, трамвай, если хотите окунуться в 60-е годы, вам сюда. Как можно было так бестолково спланировать социальные услуги населению, мер в курсе такого нигде и ничего!
      
      
",07 марта 2023
1,9,"
Питание в Пятигорске Отдыхали всего 2 дня. Жили в отеле Машук в номере стандарт. Отель весьма скромный, но расположен очень удобно. Все рядом. Ходили везде пешком. Хотела поделиться насчет питания. В самом отеле есть столовая, очень обычная. Завтрак 430 рублей того не стоит. Еда, как в столовой. В последний день нашли очень милое кафе: скромное, но все очень вкусно и не дорого. Кафе называется ""Ретро"". Фото меню выставляю. Выбор небольшой, но еда очень вкусная. Находится около верхнего рынка: ул. Крайнего 30. В остальных кафе дороже и будьте внимательнее в меню цены не за порцию, а за 100 гр.
      
      
",19 февраля 2023
2,4,"
Не понравился город! В Кисловодске провели июль-август 2022г.Жили на А.Губина.Поразило то,что в подъездах не убирают,нет дворника,мусорные баки дранные и старые,мусор из них вываливается на землю и летает по всей окрестности.Январь 2023 г-живем на Азербайджанской ул.Нет слов,чтобы описать это грязное гетто из домов.Везде грязь,покареженный асфальт,мусор,разбитые остановки.После 19-и часов никуда не уедешь,маршрутки исчезают.Нет освещения на столбах.В подъездпх не убирают,соседи выставляю мусор на лестничную клетку и идёшь через эту вонь в квартиру!Никто не штрафует!Мы просто в ужасе!Мэр города видимо здесь никогда не проезжал-не царское это дело!Вылизывают только центр,на остальные районы просто забили.Думали приобрести здесь жильё -передумали.Тут нет законов и порядка!!!
      
      
",09 января 2023
3,10,"
Все отлично! Заказывал тур жене. Поскольку мы у себя на Урале также обьездили все горы на ниве, то ей это знакомо и не страшно) Очень понравилось, довольная, перепады высот, конечно, в разы больше. Спасибо! Все здорово! 
      
      
",06 декабря 2022
4,1,"
Решайте проблему с собаками, с каждым годом их будет больше!!! Всё бы хорошо, но спасибо что развели собак, стаи бегают по городу и гавкают, очень не приятно гулять
      
      
",04 ноября 2022
5,10,"
Очень понравилось Красивое место, приятный и уютный ресторан с живой музыкой. Рядом с замком стоит лошадка, на ней можно покататься, а также хозяин лошадки проводит очень интересную экскурсию об истории замка и водит по окрестностям, показывая красивые необычные места. Рекомендую.
      
      
",26 сентября 2022
6,10,"
Кисловодск-ван лав! Отдыхали в Кисловодске в сентябре 2022, ранее никогда здесь не бывали, и если честно, выбор на Кисловодск пал исключительно из-за закрытых границ. Но каково оказалось наше удивление, что местные красоты намного ярче, красивее любых зарубежных аналогов! Да, сервис еще необходимо подтягивать, но красоты природы компенсируют все недостатки!!! Объехали много достопримечательностей в округе, за что хочется сказать огромное спасибо ребятам из проката, всё очень достойно- доставили авто прямо к отелю, авто абсолютно новое, всё по договору. Особенно поразило Джилы Су, Приэльбрусье, Домбай, Архыз и Верхняя Балкария. В общем впечатлений на целый год! Обязательно вернемся в Кисловодск еще, все рекомендую!!!                    
      
      
",19 сентября 2022
7,1,"
Позор сотрудникам ДПС Пятигорска Весь отдых был омрачен поведением сотрудников полиции и Гибдд, приехали на экскурсию в Пятигорск, попали в очень не приятную ситуацию, нашу автомашин эвакуировали на штраф стоянку, а мы только от неё отошли, сработала сигнализация на ключах, подошли за информацией к сотрудникам ДПС, что бы узнать куда забрали машину, аможет её украли, они даже не стали разговаривать, не подсказали куда можно обратится за помощью, два здоровых амбала, отвернулись  и на просьбу  о помощи  никак не отреагировали.  Доблестные сотрудники ДПС!!!!!!! Позор, такого отношения к людям  нигде не встречала. 
      
      
",25 августа 2022
8,1,"
Опасно для здоровья Прибыв ночью в Минеральные горы в первые два часа мы чудом не пострадали.  Город кишит бродячими собками. Они окружают одиноких и людей в парах, лая и разбигаясь от любой машины. Мы пытались остановить редко проезжающие автомобили, ни один человек не остановился(номера местные,  люди гостеприимные, только когда хотят что-то получить,например таксисты). Хорошо что в кармане был сникерс, удалось отвлечь их внимание на время и добраться до ближайшего открытого здания. Спасибо шоколадке. А Стаи бродячих собак оставляют незабываемые впечатления.  Если хотите пощикотать нервы или остаться колекой, лучше места не найти. 
      
      
",25 августа 2022
9,2,"
не ездите в Пятигорск на автомобиле Если собираетесь на автомобиле, то хорошенько вспомните все правила парковки. Будучи там, не  теряйте бдительности и тщательно осматривайте место парковки на предмет знаков, близости пешеходных переходов, линий разметки и прочего. То, что кругом стоят другие а/м, не повод расслабляться. Там хренова туча эвакуаторов, они постоянно снуют вместе с ДПС-никами. Причём если есть нарушение правил парковки, но вы рядом с машиной, они будут крутиться или даже встанут неподалеку, чтобы дождаться вашего отсутствия. Местные называют их ""воры в законе"". Штраф вы платите государству, а вот 2750 за увоз - им в руки. Причем на штрафстоянке  можно легко провести на жаре на улице весь день, пускают за шлагбаум по одному, оформляют без спешки и бегают по окрестным заправкам и магазинам, потому что у них нет сдачи. Просят переводит на телефон, но именно в этом месте интернет не работает.
      
      
",14 июля 2022
10,2,"
Толпы, очереди, отсутствие порядка, аэропорт явно не рассчитан на большое количество человек 
      
      
",04 июля 2022
