,mark,review_text,date
0,10,"
Отдыхаю каждые выходные В конце зимы начала понимать: выходные какие-то однообразные, а отпуск – ещё не скоро. Соседская семья давно по выходным посещает аквапарк «Ква-Ква». Решила как-то сходить вместе с ними, и теперь с удовольствием посещаю аквапарк практически каждую субботу. Выходные стали действительно ВЫХОДНЫМИ! Очень удобно, что кроме аттракционов там несколько типов бань и саун. Особенно нравится турецкий хамам.
      
      
",19 апреля 2023
1,10,"
Невероятно приятный отдых! Живем недалеко от ВДНХ, и часто ездим в Мытищи в «КваКва парк». Благодаря большому количеству автобусов дорога занимает мало времени.  Нравится подход ребят к ценообразованию. Есть очень доступные по ценнику вечерние часы. Так как работаем до 17.00, вполне успеваем попеременно с мужем устроить полноценные вечера отдыха даже посреди недели. Сауны и водные аттракционы до 22.00 работают. Удобно. А по воскресеньям пользуемся тарифом «Отпуск в городе». Получаем адреналин на горках и расслабляемся в банном комплексе по полной всей семьей. Несколько раз пользовались их очень выгодными акциями по праздникам. На День влюблённых ну очень крутое предложение у них было! Молодцы!
      
      
",13 марта 2023
2,10,"
Отличный аквапарк с шикарным SPA Нравится, что «Ква-Ква парк» - не только хорошие горки, но и полноценный SPA. Особенно нравится пилинг рыбками и хамам. Пенный турецкий массаж - это вообще нечто. Есть с чем сравнивать, благо в Турцию раньше не раз летала, и доводилось отдыхать в комплексах, где в этом точно толк знают. А тут всё прямо рядом, в Мытищах! Красота!
      
      
",16 февраля 2023
3,1,"
Чудовищное отношение к посетителям Были с детьми. Лето, будний день. Специально приехали в Москву и пришли в день многодетных показать ребятам ""Пушкинский"" Электронный билет купить не получилось. Очередь на жаре. Некоторым достаются сломанные зонтики с рекламой банка.  В тени только полторы скамейки времён Хрущева, на них сидят измученные пожилые люди (без очереди только если вам до 5 или за 70). Всем остальным только стоять. Почему нельзя организовать цивилизованный доступ? Нет таких умных кадров? Сострадания к посетителям, гостям, детям точно нет...Какое впечатление останется у наших детей? Что музей это три часа на жаре?Да хотя бы очередь могли бы сделать комфортной и помочь провести время интересно. Позорище для столицы.
      
      
",12 июля 2022
4,10,"
Прекрасное место. Отличная двухчасовая экскурсия по царским хоромам. И взрослые, и дети были в восторге. Разрешили сидеть на тëплых коврах, чтобы ноги не уставали.  Сотрудники музея очень доброжелательные. 
      
      
",16 июня 2022
5,1,"
Взрослым не советую. Одно разочарование. Бутафория сплошная, взрослым было очень скучно. Еда дорогая, и чтобы поесть, пришлось обходить всё дважды, кафе много, но большая часть не работает. Услуги туалетной комнаты платные. Ступеньки либо очень высокие, либо шаткие деревянные. Рынок с сувенирами имеет очень неприятные ароматы. 
      
      
",16 июня 2022
6,10,"
Стоит прокатиться Мне кажется, хотя бы один раз прокатиться на канатке обязательно стоит. Особенно если вы приезжий и хотите увидеть Москву с непривычных ракурсов.  Интересно, необычно и виды красивые. Правда на май 2022 года на Воробьевых горах по-прежнему идут строительные работы, поэтому первая часть пути от Воробьевых до «Новой Лиги» оставляет не самое лучшее впечатление - везде все перерыто и перекопано. Зато при поездке над рекой виды впечатляющие.  Особенно в хорошую солнечную погоду! Если хотите сэкономить, приезжайте в понедельник. Цена взрослого билета по понедельникам 100 рублей в одну сторону, и этих денег канатка точно стоит. По выходным и в праздники 400, поэтому разница ощутимая. Еще советую не приезжать к самому открытию, бывает очень много народу и очереди в кассы и на посадку.  

",03 июня 2022
7,1,"
Билеты на крутые популярные выставки - только у перекупщиков Любая относительно популярная выставка (типа Серова или Врубеля сейчас) - и билетов нет, ни онлайн, ни оффлайн, но есть на любую дату у перекупщиков. Может дорогая галерея как-то с этим начнет бороться? Это почему-то удается зарубежным музеям, но у руководства галереи мозгов на это не хватает? или оно находится в сговоре с перекупщиками? Всего-то надо сделать именные билеты, паспорт на входе и так сейчас проверяют. Ну и вместо 10 провальных выставок может-таки продлить более удачные??
      
      
",23 февраля 2022
8,10,"
рекомендую к посещению Доброго времени суток. Проводили с семьей праздники в Москве, заодно посетили музей. Очень довольны экскурсией, музей сложно назвать музеем, так как по итогу мы создали собственный мультик, окунулись в историю анимации с головой, ребенок, да и мы с женой, были в восторге. Однозначно советую к посещению. 
      
      
",31 января 2022
9,10,"
Замечательный день в усадьбе Кусково 25 сентября 2021 года в составе группы из Подольска посетила ваш замечательный уголок. Гидом нашим была Гаянэ, извините, забыла отчество. Какая приятная и комфортная на слух речь, грамотная и  познавательная . Было очевидно, что Гаянэ очень любит и знает свою работу, досконально точно отвечала на любой вопрос. Наша группа благодарит весь коллектив музея-усадьбы Кусково за приятно и познавательно проведённые время. И конечно отдельная благодарность нашему гиду Гаянэ.
      
      
",27 сентября 2021
