,mark,review_text,date
0,1,"
Туалеты на набережной Сервис Сочи оставляет удовлетворенным, НО: несмотря на курортный сбор, туалеты на набережной продолжают быть платными и местные отряжают по 5 сотрудников, чтоб ни один из туристов не сходил в туалет. Позор курортному городу, когда в СПБ на Дворцовой пл. давно бесплатные туалеты. И за что мы платим курортный сбор????
      
      
",14 апреля 2023
1,6,"
Если нет возможности отдохнуть в Турции Отдыхали в конце октября. Отель Grase Horizonte приличный. Номер с балконом большой, удобный, новый. Единственный минус это очень маленькая раковина в ванной. Первые дни на завтраках в ресторане народу было немного, ресторан маленький. Но когда начались осенние каникулы - ресторан всех вместить не в состоянии. Завтрак превратился в проблему. Не предстовляю, как все помещаются в нем в сезон. К самой еде претензий нет, вкусно, в меру разнообразно.    В целом город красивый, зеленый, но встречаются странные персонажи. В парке прямо над пляжем какой-то полупьяный урод не давал покормить кошек. Угрожал и был неадекватный. Вообще сервис ненавязчивый, сильно отличается от той же Турции.      В целом отдых получился неплохой, но не вызывает желания отдыхать здесь ещё раз.
      
      
",31 октября 2022
2,1,"
Хозяин ГД Лиза - непорядочно поступает!!!! Гостевой дом Лиза в Адлере. Выбрали по месторасположению, наличию мест и фото на сайте. По факту: приехали из аэропорта с маленьким ребёнком, а наш номер ""буквально вот- вот продали, потому что мы не ответили на их звонок"".А мы в это время спокойно летели в самолёте, немного уставшие, в предвкушении быстрого заселения и прогулки к морю. Хозяин крайне непорядочно поступил, правда на улице не оставил: заселил в другую часть города, в номер с пахнущей канализацией и непрерывно летящими самолётами над головой. Не бронируйте, учтите наш опыт и как выяснилось не только наш!!!! 
      
      
",28 сентября 2022
3,2,"
При поездке запаситесь регидроном, полисорбом и жаропонижающим! Поберегите свое здоровье и обойдите Сочи стороной при выборе места для отдыха! Отдыхали в Лоо 8дней! 3 дня купались на море, не вылазили из воды! На четвертый день всей семьёй хапанули ротовирус, переболели так, что думали помрём,  с температурой, рвотой и поносом! Оклимались только за день до вылета! В итоге провалялись в номере, мало где были и потратили кучу денег! В Сочи билет дешёвый на самолёт, обратно дороже в три раза - чисто замануха! Мониторьте цены на билеты сразу. Аэропорт, полное днище - херова туча ларьков и кафе, а сесть пассажирам  негде! Дороги вечно перегружены, нет мест для парковки!  В общем я была в этом городе первый и последний раз! В Крыму такой херни нет! 
      
      
",25 сентября 2022
4,1,"
Мрак! Ужасный город. Постоянно отключают воду и электричество, объясняют это внештатной ситуацией. У «Водоканала» г. Сочи  сплошные отписки, когда включат никто не знает. Не на пять минут отключают, а бывает и около суток. Вот и думайте куда в туалет сходить и где помыться.  Везде грязно. Какие-то непрекращающиеся стройки. Это точно курорт? Дороги узкие, постоянные пробки. Море грязное. Ротовирус подхватить проще простого. Поднимись чуть выше центра, никакого тротуара. Постоянно бездомные собаки, которые сбиваются в стаи.
      
      
",23 сентября 2022
5,1,"
Гадюшник Это самое ужасное место для отдыха , все зас …. Полный кошмар , а ещё Крым обсе…. Там намного лучше, здесь первый и последний раз 
      
      
",20 сентября 2022
6,2,"
Днище и ад Из плюсов только то что красиво остальное одни минусы:Супер душно даже ночьюГород всё время в пробкахНет парковок при этом работает организованная группировка по эвакуации машин и вымогательству денег за штраф стоянку и эвакуируют даже из мест где нет знака что работает эвакуаторОбщепит дороже чем москва иди ПитерВ целом место не для отдыха а для стреса при этом достаточно от всего изолироаано
      
      
",14 августа 2022
7,4,"
Обслуживание на низшем уровне. Хочешь воспользоваться услугой, платишь за неё, если какие-то несоответствия по ее предоставлению - виноват сам. Брали экскурсии: джипинг - постоянно происходят несоответствия по маршруту(впечатление хорошее, но есть осадок от плохой организации). На автобусе - до Красной Поляны( не предупредили, что надо платить за вход и о возможной пробке на обратном пути). 4 в 1 - океанариум, пенгвинарий, экзотеррариум, дельфинарий - оказалось что 3 первых в одном помещении. Там было 3 пингвина, питон(он реально был 1), рыбы. Короче экскурсиями мы воспользовались последний раз, приезжали в основном посмотреть природные достопримечательности. За всё бешеные деньги - а сервис на нуле. Жильё-отдельная тема. Всё зависит от того, как попадёте. Обговаривайте все-все детали
      
      
",25 июля 2022
8,2,"
Правда о Сочи 2022 Отдыхаем в Сочи, конец июня, начало июля 2022,как и многие поехали от безысходности вариантов. Лучше бы никуда не поехали, пользуясь обстановкой, дельцы турбизнеса Сочи задрали цены, а именно аренда лежака одного 700 рублей. Нас двое, должны отдать 1400 руб. за день только за лежаки. Конечно наш народ богат, но не настолько, большая часть людей лежит на свободной полосе от лежаков друг на друге, а 80%процентов лежаков пустые. Хотела задать вопрос администрации Сочи, а где забота о людях? Цены на питание по набережной это  тоже тема, шарик мороженого 200 руб., бокал вина 500руб.,пиво 350 руб. и все блюда в среднем от 500 руб. Помидоры местные 200р.,черешня 300р.и даде огурцы 150р.В общем если хотите отдых по полной программе все включено, готовьте денежки. Сочинцы видимо считают к ним приехали сильно разбогатевшие Россияне. 
      
      
",02 июля 2022
9,3,"
Не доверяйте фото на их сайте и не оплачивайте бронь пока сами не увидите Сочи, п.Магри, база отдыха ""Лунная поляна"". Полулюкс - это узкая комната в дощатом сыром домике среди деревьев. От соседнего номера отделяет тонкая перегородка, всё слышно. Душевая кабина течет. Телевизор висит над входной дверью под потолком. Рядом  навес с  прогнившим полом из которого опасно торчат гвозди. Плюсом к такому размещению пренебрежительное отношение персонала, как будто вам одолжение сделали что вообще поселили (  и это по заранее оплаченной брони!)
      
      
",11 сентября 2021
