,review_text,date
0,"
Лидзава (Лздаа), Цандрыпш - наш курорт летом 2022г. Едьте за новыми впечатлениями!!! В Абхазию едут за теплым морем и незабываемой природой. Многое зависит от того, что мы ожидаем. С хорошим настроем и в хорошем ( чистом) гостевом доме большая часть успеха.С местными вирусами мы знакомились на любом побережье, ближе к августу, в чрезвычайно теплом море они неизбежны.Отдыхали в Цандрипш и Лидзаве. Насладились морем сполна. Озеро Рица, это что-то невероятное (пересматриваю видео с катера и понимаю, что рядом с ним остался кусочек моей души)! По дороге к озеру водопады, горы, реки. Природа невообразима!!!anna9716@ya.ru
      
      
",17 марта 2023
1,"
Отдыхали семьëй в Новом Афоне. Из плюсов: неплохой отель""Гранд Афон"", море, природа и всë. Практически всë, что там можно купить, можно купить и в Сибири только дешевле. Видел много довольных туристов, но они все были бухие даже бабушки, благо бурду, которую они называют вином и чачей, продают на каждом шагу. Достопримечательности не впечатлили, кроме Анокопийской крепости и то только вида открывающегося оттуда. Абхазы считают себя гордым и независимым народом, на самом деле это ленивое стадо, полностью зависящая от России. Они даже не пытаются облагородить туристические зоны, вся прибыль по-ходу уходит на ""мерседесы"", коих сдесь полно. Нельзя сказать,что отдых был в край испорчен,но и не впечатлил. В Абхазию больше не поедем, Таиланд, Вьетнам или рассмотрим варианты в России. 
      
      
",03 января 2023
2,"
Мы отдыхали в Пицунде сентябрь 2022 г.  Были в 2018 г в Гаграх. Сравнение большое. Цены аховые, вино перепробовали разное,бармотуха везде, мёд пробовали на экскурсии хорош ты,купили привезли домой не мёд, вообще не понятно что. Чачи не где не было,даже в нормальном ресторане, дешёвая самогонка, еда тоже была не всегда свежая.Очень разочаровалась в Абхазии. Но море , природа шикорное. Жаль,что так всё испортили.
      
      
",05 октября 2022
3,"
Ужасное место Ездили с мужем в сентябре 2022г, в Пицунду, больше не поедим в Абхазию , автобус границы Псоу до Пицунда по 500 р с человека, с Пицунды до Гаргры 150 р с чел, цены ужасные, к слову в Сочи автобус 30 р с чел, отношение к русским ужасное, наглое , обращаются грубо как с дойными коровами, кругом грязь, разруха, природа которая досталась им бесплатно не может покрыть весь этот ужасный сервис и отношение к людям.Все поголовно болели вирусной инфекцией кашель, горло, температура, слабость . Зачем мне такой отдых , который я, провела не купаясь, а болея?Отдыхали В ОПК Пицунда
      
      
",20 сентября 2022
4,"
Не повторяйте ошибок, не проверяйте отдых в Абхазии с ротавирусом на себе Отдых испорчен ротавирусом. Прилетели на 10 дней,  большой компанией, переболели все. Больше сюда не приедем никогда. В аптеках очереди за лекарством от отравления, люди болеют практически все. Природа, море красивое, но это все из положительного. Оставили денег на лекарства больше чем планировали на весь отдых.
      
      
",19 сентября 2022
5,"
Отдыхайте в России!!! Всем привет! Что могу сказать, мы были в Цандрипше большой компанией: 9 взрослых и двое детей по 6 лет, в августе 2022г. Жили в гостевом доме, далеко от моря, если вам говорят 15 мин., не верьте, к морю вы скатитесь, а вот в гору подниматься тяжело. Хозяйке постоянно не нравилось, что мы шумные, зачем согласились принять тогда, возникает вопрос? На пляже,  за лежаки вам готовы набить морду, если вы говорите, что уже третий раз к вам подходит забывчивый арендодатель! В столовых пытаются подкисающую еду выдать за нормальную, но просто это приправа такой вкус даёт! Всё в три-дорого, всё привозное из России же! Под каждым кустом стихийные свалки! Недострои или разрушенные дома только добовляют определённый калорит! А в целом, природа красивая, море чистое и всё! В России можно найти огромное количество красивых мест и чистых рек и озёр, невероятной красоты!!! Местные без нас не пропадут, будут растить виноград и продавать России вино! Отдыхайте в России и тратьте свои деньги в России!!!
      
      
",17 сентября 2022
6,"
Не бойтесь-едьте и наслаждайтесь отдыхом!!!! Не бойтесь ехать и отдыхать в Абхазии. Я тоже, начитавшись отзывов, уговаривала мужа не ехать, боялась, все-таки с ребёнком. Все пишут про грязь, мусор и хамское отношение. Ничего этого мы не увидели. Да, в Беларуси чище, конечно, но никакой антисанитарии мы не увидели. Почище некоторых популярных курортов будет. Да, нет мусорных баков на пляжах, но люди порядочные за собой мусор убирают. Гор мусоров мы не видели на пляже, может быть от места зависит. Людей на пляже мало, вода прозрачная, люди доброжелательные, природа очаровывает. Ребёнок хлебнул воды в море-вырвало, но быстро восстановился. Вечер ему было не хорошо, на следующий день, как новенький. Я тоже умудрилась хлебнуть воды-последствия те же. Вывод-будьте аккуратнее на воде и ничего не бойтесь. Вернёмся ли мы ещё в Абхазию-однозначно ДА! Но скорее всего не летом. Были в сентябре и то нам жарко было. 
      
      
",16 сентября 2022
7,"
А мне в Абхазии понравилось Хочу написать отзыв об Абхазии для тех кто читает плохие и бриться ехать. Мы были в новом Афоне , Сухуми и в Гагра . В каждом городе есть пляжи из гальки и есть песочные есть оборудованные на 100% есть нет спрашивайте людей вам все подскажут как нам . Люди если к ним с душой то и они тоже . Я ни одного ни встретила нам  все только помогали . Таких душевных людей я ещё ни где не встречала . Оооочень вкусная еда . Если вы будите искать негатив вы всегда его найдёте везде в любом городе в любой стране ! Не бойтесь будьте вежливы и Все будет хорошо ) а ротовирус мы им не болели , кто-то болел конечно но он есть на всем побережье и в Турции тоже к стати мы им болели именно там. Воду с моря не хлебайте где пляжи битком  . 
      
      
",13 сентября 2022
8,"
Абхазия. Правда и Ложь. Абхазия красивое и замечательное место. Природа, море и иногда еда. Если хотите отдохнуть отдыхацте сами, местных слушать просто попасть на деньги. Везде где хотите можно попасть самим и сэкономить денег. Но самое главное что разочаровало это вино. Даже в заводских бутылках купив разные вина в разных городах оказалась одна и таде барматуха. Противно и обидно. Вот где действительно в глаза улыбаются, а за глаза обман. Если ехать а Абхазию то только на пляж и на природу. Покупать там вообще ничего нельзя. 
      
      
",10 сентября 2022
9,"
Испорченный отпуск Были с 30 августа 2022 с другом, отдых прошёл на единицу,  если вообще он был, на второй день заболели ротовирусом он оказалось потом, что он там везде где только можно, но в основном в море, т е купаться там я туристам вообще не рекомендую и не льзя, за исключением того если Вы переболели им недавно, то можете. Полная антисанитария, не вкусная еду, хамское отношение и основное это ротовирус перекрывает всю природу которая там есть. В итоге испорченный отпуск будет на 1000% и потом будете жалеть, перед тем как ехать, но лучше не ехать от слова совсем, почитайте отзывы по этой грязной стране. Приехал из отпуска до сих пор тошнит и не только 🤢 
      
      
",09 сентября 2022
