,review_text,date
0," лидзава (лздаа), цандрыпш - наш курорт летом 2022г. едьте новыми впечатлениями!!! абхазию едут теплым морем незабываемой природой. многое зависит того, ожидаем. хорошим настроем хорошем ( чистом) гостевом доме большая часть успеха.с местными вирусами знакомились любом побережье, ближе августу, чрезвычайно теплом море неизбежны.отдыхали цандрипш лидзаве. насладились морем сполна. озеро рица, это что-то невероятное (пересматриваю видео катера понимаю, рядом остался кусочек моей души)! дороге озеру водопады, горы, реки. природа невообразима!!!anna9716@ya.ru ",17 марта 2023
1," отдыхали семьëй новом афоне. плюсов: неплохой отель гранд афон , море, природа всë. практически всë, купить, купить сибири дешевле. видел довольных туристов, бухие бабушки, благо бурду, которую называют вином чачей, продают каждом шагу. достопримечательности не впечатлили, кроме анокопийской крепости вида открывающегося оттуда. абхазы считают гордым независимым народом, самом деле это ленивое стадо, полностью зависящая россии. не пытаются облагородить туристические зоны, вся прибыль по-ходу уходит мерседесы , коих сдесь полно. сказать,что отдых край испорчен,но не впечатлил. абхазию не поедем, таиланд, вьетнам рассмотрим варианты россии. ",03 января 2023
2," отдыхали пицунде сентябрь 2022 г. 2018 г гаграх. сравнение большое. цены аховые, вино перепробовали разное,бармотуха везде, мёд пробовали экскурсии хорош ты,купили привезли домой не мёд, вообще не понятно что. чачи не не было,даже нормальном ресторане, дешёвая самогонка, еда не свежая.очень разочаровалась абхазии. море , природа шикорное. жаль,что всё испортили. ",05 октября 2022
3," ужасное место ездили мужем сентябре 2022г, пицунду, не поедим абхазию , автобус границы псоу пицунда 500 р человека, пицунды гаргры 150 р чел, цены ужасные, слову сочи автобус 30 р чел, отношение русским ужасное, наглое , обращаются грубо дойными коровами, кругом грязь, разруха, природа которая досталась бесплатно не покрыть весь ужасный сервис отношение людям.все поголовно болели вирусной инфекцией кашель, горло, температура, слабость . отдых , который я, провела не купаясь, болея?отдыхали опк пицунда ",20 сентября 2022
4," не повторяйте ошибок, не проверяйте отдых абхазии ротавирусом отдых испорчен ротавирусом. прилетели 10 дней, большой компанией, переболели все. сюда не приедем никогда. аптеках очереди лекарством отравления, люди болеют практически все. природа, море красивое, это положительного. оставили денег лекарства планировали весь отдых. ",19 сентября 2022
5," отдыхайте россии!!! всем привет! могу сказать, цандрипше большой компанией: 9 взрослых двое детей 6 лет, августе 2022г. жили гостевом доме, далеко моря, говорят 15 мин., не верьте, морю скатитесь, гору подниматься тяжело. хозяйке постоянно не нравилось, шумные, согласились принять тогда, возникает вопрос? пляже, лежаки готовы набить морду, говорите, третий подходит забывчивый арендодатель! столовых пытаются подкисающую еду выдать нормальную, просто это приправа вкус даёт! всё три-дорого, всё привозное россии же! каждым кустом стихийные свалки! недострои разрушенные дома добовляют определённый калорит! целом, природа красивая, море чистое всё! россии найти огромное количество красивых мест чистых рек озёр, невероятной красоты!!! местные не пропадут, будут растить виноград продавать россии вино! отдыхайте россии тратьте свои деньги россии!!! ",17 сентября 2022
6," не бойтесь-едьте наслаждайтесь отдыхом!!!! не бойтесь ехать отдыхать абхазии. тоже, начитавшись отзывов, уговаривала мужа не ехать, боялась, все-таки ребёнком. пишут грязь, мусор хамское отношение. не увидели. да, беларуси чище, конечно, никакой антисанитарии не увидели. почище некоторых популярных курортов будет. да, нет мусорных баков пляжах, люди порядочные собой мусор убирают. гор мусоров не видели пляже, места зависит. людей пляже мало, вода прозрачная, люди доброжелательные, природа очаровывает. ребёнок хлебнул воды море-вырвало, быстро восстановился. вечер не хорошо, следующий день, новенький. умудрилась хлебнуть воды-последствия те же. вывод-будьте аккуратнее воде не бойтесь. вернёмся ещё абхазию-однозначно да! скорее не летом. сентябре нам жарко было. ",16 сентября 2022
7," абхазии понравилось хочу написать отзыв абхазии тех читает плохие бриться ехать. новом афоне , сухуми гагра . каждом городе пляжи гальки песочные оборудованные 100% нет спрашивайте людей подскажут нам . люди душой . одного встретила нам помогали . таких душевных людей ещё не встречала . оооочень вкусная еда . будите искать негатив найдёте везде любом городе любой стране ! не бойтесь будьте вежливы ) ротовирус не болели , кто-то болел всем побережье турции стати болели именно там. воду моря не хлебайте пляжи битком . ",13 сентября 2022
8," абхазия. правда ложь. абхазия красивое замечательное место. природа, море еда. хотите отдохнуть отдыхацте сами, местных слушать просто попасть деньги. везде хотите попасть самим сэкономить денег. самое главное разочаровало это вино. заводских бутылках купив разные вина разных городах оказалась одна таде барматуха. противно обидно. действительно глаза улыбаются, глаза обман. ехать абхазию пляж природу. покупать вообще нельзя. ",10 сентября 2022
9," испорченный отпуск 30 августа 2022 другом, отдых прошёл единицу, вообще был, второй день заболели ротовирусом оказалось потом, везде можно, основном море, т е купаться туристам вообще не рекомендую не льзя, исключением переболели недавно, можете. полная антисанитария, не вкусная еду, хамское отношение основное это ротовирус перекрывает природу которая есть. итоге испорченный отпуск 1000% будете жалеть, ехать, не ехать слова совсем, почитайте отзывы грязной стране. приехал отпуска сих пор тошнит не 🤢 ",09 сентября 2022
